taxon_id	taxon_group
NCBITaxon:1267	OTHER_BACTERIAL
NCBITaxon:1269	ACTINOBACTERIAL
NCBITaxon:1270	ACTINOBACTERIAL
NCBITaxon:1272	ACTINOBACTERIAL
NCBITaxon:1275	ACTINOBACTERIAL
NCBITaxon:1279	OTHER_BACTERIAL
NCBITaxon:1280	OTHER_BACTERIAL
NCBITaxon:1281	OTHER_BACTERIAL
NCBITaxon:1282	OTHER_BACTERIAL
NCBITaxon:1284	OTHER_BACTERIAL
NCBITaxon:1292	OTHER_BACTERIAL
NCBITaxon:1293	OTHER_BACTERIAL
NCBITaxon:1295	OTHER_BACTERIAL
NCBITaxon:1298	OTHER_BACTERIAL
NCBITaxon:1299	OTHER_BACTERIAL
NCBITaxon:1301	OTHER_BACTERIAL
NCBITaxon:1304	OTHER_BACTERIAL
NCBITaxon:1307	OTHER_BACTERIAL
NCBITaxon:1308	OTHER_BACTERIAL
NCBITaxon:1309	OTHER_BACTERIAL
NCBITaxon:1310	OTHER_BACTERIAL
NCBITaxon:1311	OTHER_BACTERIAL
NCBITaxon:1313	OTHER_BACTERIAL
NCBITaxon:1314	OTHER_BACTERIAL
NCBITaxon:1335	OTHER_BACTERIAL
NCBITaxon:1341	OTHER_BACTERIAL
NCBITaxon:1345	OTHER_BACTERIAL
NCBITaxon:1349	OTHER_BACTERIAL
NCBITaxon:1351	OTHER_BACTERIAL
NCBITaxon:1352	OTHER_BACTERIAL
NCBITaxon:1353	OTHER_BACTERIAL
NCBITaxon:1357	OTHER_BACTERIAL
NCBITaxon:1358	OTHER_BACTERIAL
NCBITaxon:1359	OTHER_BACTERIAL
NCBITaxon:1360	OTHER_BACTERIAL
NCBITaxon:1372	OTHER_BACTERIAL
NCBITaxon:1386	OTHER_BACTERIAL
NCBITaxon:1390	OTHER_BACTERIAL
NCBITaxon:1392	OTHER_BACTERIAL
NCBITaxon:1393	OTHER_BACTERIAL
NCBITaxon:1396	OTHER_BACTERIAL
NCBITaxon:1397	OTHER_BACTERIAL
NCBITaxon:1398	OTHER_BACTERIAL
NCBITaxon:1399	OTHER_BACTERIAL
NCBITaxon:1402	OTHER_BACTERIAL
NCBITaxon:1404	OTHER_BACTERIAL
NCBITaxon:1405	OTHER_BACTERIAL
NCBITaxon:1406	OTHER_BACTERIAL
NCBITaxon:1408	OTHER_BACTERIAL
NCBITaxon:1409	OTHER_BACTERIAL
NCBITaxon:1421	OTHER_BACTERIAL
NCBITaxon:1422	OTHER_BACTERIAL
NCBITaxon:1423	OTHER_BACTERIAL
NCBITaxon:1428	OTHER_BACTERIAL
NCBITaxon:1445	OTHER_BACTERIAL
NCBITaxon:1450	OTHER_BACTERIAL
NCBITaxon:1455	OTHER_BACTERIAL
NCBITaxon:1457	OTHER_BACTERIAL
NCBITaxon:1464	OTHER_BACTERIAL
NCBITaxon:1465	OTHER_BACTERIAL
NCBITaxon:1471	OTHER_BACTERIAL
NCBITaxon:1474	OTHER_BACTERIAL
