standard_inchi_key	identifier	label	antimicrobial_class	slug	corpus_commit
ASXBYYWOLISCLQ-HZYVHMACSA-N	CHEBI:38291	dihydrostreptomycin	ANTIMICROBIAL_UNSPECIFIED	dihydrostreptomycin	74f6cc8362498900f2fe2c13d0b6fdb66dd30976
ASZOUSIHEISETE-UHFFFAOYSA-N	antibioticmech:aro-4406f1da89	fasamycin I	ANTIBACTERIAL	fasamycin-i	74f6cc8362498900f2fe2c13d0b6fdb66dd30976
ATBQBNKWWGOEFJ-UHFFFAOYSA-N	CHEBI:65471	bauhinoxepin I	ANTIMYCOBACTERIAL	bauhinoxepin-i	74f6cc8362498900f2fe2c13d0b6fdb66dd30976
ATDHCZKCFPIQOT-UHFFFAOYSA-N	CHEBI:66517	SPF-32629A	ANTIMICROBIAL_UNSPECIFIED	spf-32629a	74f6cc8362498900f2fe2c13d0b6fdb66dd30976
ATEBXHFBFRCZMA-VXTBVIBXSA-N	CHEBI:45367	rifabutin	ANTIBACTERIAL	rifabutin	74f6cc8362498900f2fe2c13d0b6fdb66dd30976
ATHQCOUEZPBNLP-JWYJDYCQSA-N	CHEBI:76058	chloroorienticin B	ANTIMICROBIAL_UNSPECIFIED	chloroorienticin-b	74f6cc8362498900f2fe2c13d0b6fdb66dd30976
ATHWSPHADLLZSS-PXNSSMCTSA-N	CHEBI:70576	(+)-pisiferic acid	ANTIBACTERIAL	pisiferic-acid	74f6cc8362498900f2fe2c13d0b6fdb66dd30976
ATZHVIVDMUCBEY-HOTGVXAUSA-N	CHEBI:156432	florylpicoxamid	ANTIFUNGAL	florylpicoxamid	74f6cc8362498900f2fe2c13d0b6fdb66dd30976
AUAHHJJRFHRVPV-BZDVOYDHSA-N	CHEBI:4878	ethambutol dihydrochloride	ANTIMYCOBACTERIAL	ethambutol-dihydrochloride	74f6cc8362498900f2fe2c13d0b6fdb66dd30976
AUVVAXYIELKVAI-CKBKHPSWSA-N	CHEBI:4781	emetine	ANTIPROTOZOAL	emetine	74f6cc8362498900f2fe2c13d0b6fdb66dd30976
AUZONCFQVSMFAP-UHFFFAOYSA-N	CHEBI:4659	disulfiram	ANTIFUNGAL	disulfiram	74f6cc8362498900f2fe2c13d0b6fdb66dd30976
AVAACINZEOAHHE-VFZPANTDSA-N	CHEBI:135928	doripenem	ANTIBACTERIAL	doripenem	74f6cc8362498900f2fe2c13d0b6fdb66dd30976
AVCPRTNVVRPELB-YRUZYCQGSA-N	CHEBI:48201	frenolicin B	ANTIMICROBIAL_UNSPECIFIED	frenolicin-b	74f6cc8362498900f2fe2c13d0b6fdb66dd30976
AVGYWQBCYZHHPN-CYJZLJNKSA-N	CHEBI:3535	cephalexin monohydrate	ANTIBACTERIAL	cephalexin-monohydrate	74f6cc8362498900f2fe2c13d0b6fdb66dd30976
AVKUERGKIZMTKX-NJBDSQKTSA-N	CHEBI:28971	ampicillin	ANTIBACTERIAL	ampicillin	74f6cc8362498900f2fe2c13d0b6fdb66dd30976
AVPQPGFLVZTJOR-RYUDHWBXSA-N	CHEBI:136053	nemonoxacin	ANTIBACTERIAL	nemonoxacin	74f6cc8362498900f2fe2c13d0b6fdb66dd30976
AVXQPEKZIGPIJW-UHFFFAOYSA-N	CHEBI:94998	SCH-79797	ANTIBACTERIAL	sch-79797	74f6cc8362498900f2fe2c13d0b6fdb66dd30976
AVZATKWNGXCSDN-UPZXKQCMSA-N	CHEBI:68748	sch 210971	ANTIFUNGAL	sch-210971	74f6cc8362498900f2fe2c13d0b6fdb66dd30976
AWDAPFGGFWZKGB-UHFFFAOYSA-N	CHEBI:66254	topopyrone C	ANTIVIRAL	topopyrone-c	74f6cc8362498900f2fe2c13d0b6fdb66dd30976
AWMFUEJKWXESNL-JZBHMOKNSA-N	CHEBI:4846	erythromycin estolate	ANTIMICROBIAL_UNSPECIFIED	erythromycin-estolate	74f6cc8362498900f2fe2c13d0b6fdb66dd30976
AWMWNWIBOOYESP-UHFFFAOYSA-N	CHEBI:65475	BE-54238A	ANTIMICROBIAL_UNSPECIFIED	be-54238a	74f6cc8362498900f2fe2c13d0b6fdb66dd30976
AWRLKTYNEGEURZ-JCLMPDJQSA-N	CHEBI:67223	2'-deamino-2'-hydroxyneamine	ANTIMICROBIAL_UNSPECIFIED	2-deamino-2-hydroxyneamine	74f6cc8362498900f2fe2c13d0b6fdb66dd30976
AWZOLILCOUMRDG-UHFFFAOYSA-N	CHEBI:34735	edifenphos	ANTIFUNGAL	edifenphos	74f6cc8362498900f2fe2c13d0b6fdb66dd30976
AXFOSMASHUQEMX-QWVZVQMISA-N	CHEBI:65515	brasilinolide B	ANTIFUNGAL	brasilinolide-b	74f6cc8362498900f2fe2c13d0b6fdb66dd30976
AXRYRYVKAWYZBR-GASGPIRDSA-N	CHEBI:37924	atazanavir	ANTIVIRAL	atazanavir	74f6cc8362498900f2fe2c13d0b6fdb66dd30976
AYIRNRDRBQJXIF-NXEZZACHSA-N	CHEBI:87185	florfenicol	ANTIBACTERIAL	florfenicol	74f6cc8362498900f2fe2c13d0b6fdb66dd30976
AYTVESLXVZAGIT-ARZGSZHJSA-N	CHEBI:180646	2CN115	ANTIVIRAL	2cn115	74f6cc8362498900f2fe2c13d0b6fdb66dd30976
AYUMVPHUMFKFPJ-SBAJWEJLSA-N	antibioticmech:aro-a39572002e	sarecycline	ANTIBACTERIAL	sarecycline	74f6cc8362498900f2fe2c13d0b6fdb66dd30976
AYXPYQRXGNDJFU-IMNVLQEYSA-N	CHEBI:156228	viridiflorol	ANTIMYCOBACTERIAL	viridiflorol	74f6cc8362498900f2fe2c13d0b6fdb66dd30976
AZDANMRNWNLXOP-UHFFFAOYSA-N	CHEBI:65935	19-(2-furyl)nonadeca-5,7-diynoic acid	ANTIPROTOZOAL	19-2-furyl-nonadeca-5-7-diynoic-acid	74f6cc8362498900f2fe2c13d0b6fdb66dd30976
AZEXNJIEBDRVJS-OSHOESKRSA-N	CHEBI:65747	12-deoxyphorbol-13-(3E,5E-decadienoate)	ANTIVIRAL	12-deoxyphorbol-13-3e-5e-decadienoate	74f6cc8362498900f2fe2c13d0b6fdb66dd30976
AZNKZYXEUMQLIU-MNOVXSKESA-N	CHEBI:149430	6-de(cyclopropylamino)-6-(2,2-dimethylazetidin-1-yl)abacavir	ANTIVIRAL	6-de-cyclopropylamino-6-2-2-dimethylazetidin-1-yl-abacavir	74f6cc8362498900f2fe2c13d0b6fdb66dd30976
BACLASYRJRZXMY-UHFFFAOYSA-N	CHEBI:2512	agathisflavone	ANTIVIRAL	agathisflavone	74f6cc8362498900f2fe2c13d0b6fdb66dd30976
