old_taxon_id	new_taxon_id	requested_by
NCBITaxon:159068	NCBITaxon:2839963	lotus
NCBITaxon:159594	NCBITaxon:99899	lotus
NCBITaxon:159756	NCBITaxon:2724436	lotus
NCBITaxon:161097	NCBITaxon:89585	lotus
NCBITaxon:165034	NCBITaxon:1437855	chebi_origins
NCBITaxon:165306	NCBITaxon:2769828	lotus
NCBITaxon:165681	NCBITaxon:79044	chebi_origins
NCBITaxon:168365	NCBITaxon:2918407	lotus
NCBITaxon:168712	NCBITaxon:2747904	chebi_origins
NCBITaxon:169181	NCBITaxon:2986133	chebi_origins,lotus
NCBITaxon:169279	NCBITaxon:23413	lotus
NCBITaxon:169753	NCBITaxon:417009	chebi_origins
NCBITaxon:169768	NCBITaxon:2748384	chebi_origins,lotus
NCBITaxon:170025	NCBITaxon:170017	lotus
NCBITaxon:170219	NCBITaxon:1496138	chebi_origins
NCBITaxon:170990	NCBITaxon:2706	lotus
NCBITaxon:172191	NCBITaxon:1904831	chebi_origins
NCBITaxon:172969	NCBITaxon:2510791	lotus
NCBITaxon:172984	NCBITaxon:2025844	chebi_origins
NCBITaxon:173541	NCBITaxon:2813661	lotus
NCBITaxon:174078	NCBITaxon:195790	lotus
NCBITaxon:175771	NCBITaxon:3122430	lotus
NCBITaxon:176162	NCBITaxon:176177	lotus
NCBITaxon:176358	NCBITaxon:2493800	lotus
NCBITaxon:176461	NCBITaxon:908477	lotus
NCBITaxon:176467	NCBITaxon:2497363	chebi_origins
NCBITaxon:178516	NCBITaxon:1336945	chebi_origins
NCBITaxon:178525	NCBITaxon:2780567	chebi_origins,lotus
NCBITaxon:178529	NCBITaxon:1603060	chebi_origins,lotus
NCBITaxon:178763	NCBITaxon:2818487	lotus
NCBITaxon:180120	NCBITaxon:2990930	lotus
NCBITaxon:180560	NCBITaxon:626364	lotus
NCBITaxon:181766	NCBITaxon:2744539	chebi_origins
NCBITaxon:181873	NCBITaxon:71684	lotus
NCBITaxon:182080	NCBITaxon:46161	mibig
NCBITaxon:183231	NCBITaxon:1663613	chebi_origins
NCBITaxon:183483	NCBITaxon:142615	lotus
NCBITaxon:184394	NCBITaxon:2896553	lotus
NCBITaxon:184630	NCBITaxon:347875	lotus
NCBITaxon:184875	NCBITaxon:5095	chebi_origins
NCBITaxon:185768	NCBITaxon:77620	lotus
NCBITaxon:186125	NCBITaxon:2870670	lotus
NCBITaxon:186520	NCBITaxon:2906878	chebi_origins,lotus
NCBITaxon:189445	NCBITaxon:2894057	lotus
NCBITaxon:192817	NCBITaxon:1934353	chebi_origins
NCBITaxon:193307	NCBITaxon:106570	lotus
NCBITaxon:194889	NCBITaxon:126678	lotus
NCBITaxon:195117	NCBITaxon:3138698	lotus
NCBITaxon:196114	NCBITaxon:2696576	chebi_origins,lotus
NCBITaxon:196683	NCBITaxon:2028451	lotus
NCBITaxon:197596	NCBITaxon:3986	lotus
NCBITaxon:197831	NCBITaxon:223169	lotus
NCBITaxon:199127	NCBITaxon:48872	lotus
NCBITaxon:199218	NCBITaxon:1419728	lotus
NCBITaxon:203661	NCBITaxon:1755700	lotus
NCBITaxon:203721	NCBITaxon:1533279	lotus
NCBITaxon:204377	NCBITaxon:1352039	chebi_origins
