standard_inchi_key	smiles	pathway_results	superclass_results	class_results	is_glycoside	model_version
FOCOTNVJSJLTEU-YCDZJTNJSA-N	C[C@H]([C@H]1C(=O)N[C@H](C(=O)N2CCC[C@H]2C(=O)N[C@H](C(=O)N3CCC[C@H]3C(=O)N[C@H](C(=O)N[C@H](C4=N[C@@H](CS4)C(=O)N1)CC(C)C)C(C)OC(C)(C)C=C)C(C)C)CC(C)C)OC(C)(C)C=C	Amino acids and Peptides	Oligopeptides	Cyclic peptides|RiPPs-Cyanobactins	false	npclassifier.gnps2.org@2026-09-07
FODDHTHRAYJPCC-OUBBJWQNSA-N	C[C@@H](O)[C@@H](NC(=O)CNC(=O)[C@H](CO)NC(=O)C1=CC=CC=C1O)C(=O)N(C)[C@@H](CCCNO)C(=O)N[C@@H](CCCN)C(=O)N[C@@H](CCCN(O)C=O)C(=O)O	Amino acids and Peptides	Oligopeptides	Linear peptides	false	npclassifier.gnps2.org@2026-09-07
FOMJEHKAWAOFOV-RZCNENHTSA-N	[H][C@@]12C\C(CN1C(=O)C1=CC=C(OC)C(O)=C1N=C2)=C/C	Alkaloids	Anthranilic acid alkaloids	Benzodiazepine alkaloids	false	npclassifier.gnps2.org@2026-09-07
FOYVMAZXONLAFF-JSRAJUNHSA-N	COC(CCCC/C=C\CCCCCCC/C=C\C(=O)N/C=C/C(=O)N[C@H]1COC(=O)[C@H](CO)NC(=O)[C@H](CCO)NC(=O)[C@@H](C(C)C)NC1=O)(CC(=O)O)C(=O)O	Amino acids and Peptides	Oligopeptides	Cyclic peptides|Depsipeptides|Lipopeptides	false	npclassifier.gnps2.org@2026-09-07
FPHRKFJYHKRDFJ-LWYCVJHGSA-N	C[C@@H](C(=O)NCCC(C(=O)O)C(CC(=O)O)(C(=O)O)O)N1C(=O)CC[C@]1(C(=O)O)O	Amino acids and Peptides			false	npclassifier.gnps2.org@2026-09-07
FPIKGAFXXMSOSP-LAIUBXKZSA-N	CC1OC(CCC1OC1OC(C)C(=O)C=C1)C1=CC=C2C(=O)C3=C(C=C[C@]4(O)C[C@](C)(CC(=O)[C@]34O)OC3OC(C)C(=O)C=C3)C(=O)C2=C1O	Polyketides	Polycyclic aromatic polyketides	Angucyclines	true	npclassifier.gnps2.org@2026-09-07
FPMIEPCWEZBKGP-UHFFFAOYSA-N	CCCCCCCCCCCC(O)CC(=O)NC(CC(C)C)C(=O)NC(CCC(O)=O)C(=O)NC1C(C)OC(=O)C(NC(=O)C(CO)NC(=O)C(CC(C)C)NC(=O)C(CC(C)C)NC(=O)C(CO)NC(=O)C(CC(C)C)NC(=O)C(NC1=O)C(C)C)C(C)C	Amino acids and Peptides|Polyketides	Oligopeptides	Cyclic peptides|Depsipeptides|Lipopeptides	false	npclassifier.gnps2.org@2026-09-07
FPSCSFRHCCJLDN-ORCWKVIUSA-N	CC[C@@H]([C@H]1C(NCCCC[C@@H](NC(N[C@H](C(O)=O)CCCNC(N)=N)=O)C(N[C@@H](C(C)C)C(N[C@@H](CCC2=CC=C(O)C=C2)C(N(C)[C@@H](CCC3=CC=C(O)C=C3)C(N1)=O)=O)=O)=O)=O)C	Amino acids and Peptides	Oligopeptides	Anabaenopeptins|Cyclic peptides	false	npclassifier.gnps2.org@2026-09-07
FPVKHBSQESCIEP-JQCXWYLXSA-N	C1[C@@H]([C@H](O[C@H]1N2C=NC3=C2NC=NC[C@H]3O)CO)O	Alkaloids			false	npclassifier.gnps2.org@2026-09-07
FPYAYFJAGDIMEX-UHFFFAOYSA-N	CC=CCC(C)C(=O)C1=C(O)C(OC)=C(OC)[NH]C1=O	Alkaloids|Polyketides			false	npclassifier.gnps2.org@2026-09-07
