standard_inchi_key	smiles	pathway_results	superclass_results	class_results	is_glycoside	model_version
NUJCEAGNKAOTSZ-ZPODTHSYSA-N	CC[C@H](C)[C@H](NC(=O)C(\NC(=O)C(\NC(=O)[C@H](CCCCN)NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)C(=C)NC(=O)[C@H](C)NC(=O)C(C)O)[C@@H](C)CC)C(C)C)=C/C)=C/C)C(=O)NC(CCCCN)C(=O)N[C@@H](C)C(=O)N[C@H]1CSC[C@H](NC(=O)[C@H](CC(C)C)NC(=O)C(CCCCN)NC(=O)C(CCCCN)NC1=O)C(=O)N[C@@H](CCCNC(N)=N)C(=O)NCC(=O)N[C@@H](CC1=CC=CC=C1)C(=O)N[C@H]1C(C)SC[C@@H]2NC(=O)[C@@H](NC(=O)[C@H](CC(C)C)NC1=O)C(C)SC[C@H](NC(=O)CNC2=O)C(=O)N[C@@H](CC1=CN=CN1)C(=O)N[C@@H](CC1=CC=CC=C1)C(=O)N\C(=C\C)C(=O)NCC(=O)N[C@@H](CCCCN)C(=O)N[C@@H](CCCCN)C(O)=O	Amino acids and Peptides	Oligopeptides	RiPPs-Lanthipeptides	false	npclassifier.gnps2.org@2026-09-07
NUPKBVWVJRTNCS-UHFFFAOYSA-N	CC1(O)CC(O)CC2=CC3=C(C(O)=C12)C(=O)C1=C(O)C=C(O)C=C1C3(C)C	Polyketides	Polycyclic aromatic polyketides	Benastatins and derivatives	false	npclassifier.gnps2.org@2026-09-07
NUPNVWUYFVEAIT-UJJBCWTCSA-N	[H][C@@]12COC(=O)[C@]3(CO3)[C@@]11C=C(C)[C@@H](C)[C@@]1([H])C=C2C(O)=O	Terpenoids	Sesquiterpenoids	Pentalenane sesquiterpenoids	false	npclassifier.gnps2.org@2026-09-07
NVLTYOJHPBMILU-YOVYLDAJSA-N	C1=CC(=CC=C1[C@@H](C#N)O[C@H]2[C@@H]([C@H]([C@@H]([C@H](O2)CO)O)O)O)O	Amino acids and Peptides	Amino acid glycosides	Cyanogenic glycosides	true	npclassifier.gnps2.org@2026-09-07
NVNLLIYOARQCIX-GSJOZIGCSA-N	CCC(C)C1C(=O)NC(=C)C(=O)NC(C(=O)NC(CSCC(C(=O)N1)NC(=O)/C(=C/C)/NC(=O)C(C(C)CC)N)C(=O)NC2C(SCC(NC(=O)CNC(=O)C3CCCN3C2=O)C(=O)NC(CCCCN)C(=O)NC4C(SCC(NC(=O)CNC(=O)C(NC(=O)C(NC(=O)C(NC(=O)CNC4=O)C)CC(C)C)CCSC)C(=O)NC(CC(=O)N)C(=O)NC(CCSC)C(=O)NC(CCCCN)C(=O)NC5C(SCC6C(=O)NC(C(=O)NC(CSC(C(C(=O)N6)NC(=O)C(NC5=O)C)C)C(=O)NC(CO)C(=O)NC(C(C)CC)C(=O)NC(CC7=CNC=N7)C(=O)NC(C(C)C)C(=O)NC(=C)C(=O)NC(CCCCN)C(=O)O)CC8=CNC=N8)C)C)C)CC(C)C	Amino acids and Peptides	Oligopeptides	RiPPs-Lanthipeptides	false	npclassifier.gnps2.org@2026-09-07
NWBIHDXUFYUNGB-LROXJONJSA-N	C[C@@H](C1=NC2=CC=CC=C2C(=O)N1[C@@H]3C[C@]4([C@H]5N(C6=CC=CC=C64)C(=O)C(N5O)(C)C)OC3=O)OC(=O)C	Alkaloids	Anthranilic acid alkaloids	Quinazoline alkaloids	false	npclassifier.gnps2.org@2026-09-07
NWKUEDRQVAOKOY-MGNXQTKBSA-N	CC(/C=C/C1CC2(CO2)CC(C)(O)O1)=C\C(O)C1OC(C)C(NC(=O)/C=C\C(C)OC(=O)C(C)C)CC1C	Polyketides	Linear polyketides	Open-chain polyketides	true	npclassifier.gnps2.org@2026-09-07
NWOZMFVQYVMDKF-UKTHLTGXSA-N	CCCCCCC/C=C(\C)C(=O)C1=CC(C2(O)CC2)OC1=O	Polyketides			false	npclassifier.gnps2.org@2026-09-07
NWPHOPMRDKFXFP-SIPAFCNMSA-N	C[C@@H]1[C@H]([C@@H](CC(O1)C2=CC3=C(C=C2)C(=O)C4=C(C3=O)[C@H](O[C@H]5[C@@H]4OC(=O)C5)C)N(C)C)O	Polyketides	Naphthalenes|Polycyclic aromatic polyketides	Angucyclines|Naphthoquinones	false	npclassifier.gnps2.org@2026-09-07
NWPIUETWDSWOKV-QROLFQDOSA-N	CC[C@]1(C[C@@H](C2=C(C3=C(C(=C2[C@H]1OC4CC(C(C(O4)C)O)N(C)C)O)C(=O)C5=C(C3=O)C(=CC=C5)O)O)OC6CC(C(C(O6)C)O)N(C)C)O	Polyketides	Polycyclic aromatic polyketides	Anthracyclines	true	npclassifier.gnps2.org@2026-09-07
NWXCMIPYEHNXHW-VQOMMXTDSA-N	CC/C=C/C=C(\C)/C=C/C=C\C(CC(=O)NC1=C(CCC1=O)O)O	Alkaloids	Peptide alkaloids	Simple amide alkaloids	false	npclassifier.gnps2.org@2026-09-07
NWXCMIPYEHNXHW-XXPPDWBPSA-N	O=C(NC1=C(O)CCC1=O)CC(O)/C=C/C=C/C(C)=C/C=C/CC	Alkaloids	Peptide alkaloids	Simple amide alkaloids	false	npclassifier.gnps2.org@2026-09-07
NWYGQCMFWAOARK-TZCGFCPBSA-N	C/C=C/C=C/C(=C/1\[C@@H]2[C@@]3(C(=O)/C(=C(\C=C\C=C\C)/O)/C(=O)[C@]([C@]3(O[C@@]2(C(=O)C(=C1O)C)C)O)(C)O)C)/O	Polyketides	Aromatic polyketides	Sorbicilinoids	true	npclassifier.gnps2.org@2026-09-07
NXNYUMHIAQCFFJ-UHFFFAOYSA-N	[H]CC1=C2C(=CO1)C(OC)C1=CC(O)=C(OC)C(O)=C1C2=O	Polyketides			false	npclassifier.gnps2.org@2026-09-07
NXQKNJIQGBLGMU-IJVCHWCPSA-N	CC[C@@H]\1CC[C@]23CC(=O)[C@H]([C@H](O2)C4=CC(=CC(=C4O3)NC(=O)C/C=C(\C(=O)O[C@@H](/C=C1)C(C=C(C)C)O)/C)O)C	Amino acids and Peptides|Polyketides	Macrolides	Ansa macrolides|Lactam bearing macrolide lactones	false	npclassifier.gnps2.org@2026-09-07
NXSGPZVLHWRFIW-UHFFFAOYSA-N	O=C(NC(C(O)C(O)=O)C(NC(CO)C(NC(C(O)C(O)=O)C(NC(C(C)O)C(NC(CO)C(NC1CCCN(O)C1=O)=O)=O)=O)=O)=O)CCCCCCCCCCCCC	Amino acids and Peptides	Oligopeptides	Linear peptides|Lipopeptides	false	npclassifier.gnps2.org@2026-09-07
NXWDZVMFSHYEEJ-UHFFFAOYSA-N	CCCCCC(=O)NC(CC(C)C)C(=O)NC(CCC(=O)O)C(=O)NC(CC(C)C)C(=O)NC(CC(C)C)C(=O)NC(CCC(N)=O)C(=O)NC(CO)C(=O)NC(C(=O)NC(CC(C)C)C(=O)NC1COC(=O)C(CO)NC(=O)C(CC(C)C)NC(=O)C(CC(C)C)NC1=O)C(C)C	Amino acids and Peptides|Polyketides	Oligopeptides	Cyclic peptides|Depsipeptides|Lipopeptides	false	npclassifier.gnps2.org@2026-09-07
NXXFSEZACTZCGP-UHFFFAOYSA-N	OCC(=O)N1C2=CC=CC=C2NC2=C1C=CC=C2C(O)=O	Alkaloids	Anthranilic acid alkaloids	Phenazine alkaloids	false	npclassifier.gnps2.org@2026-09-07
NYBZAGXTZXPYND-GBIKHYSHSA-N	[H][C@@]1(CSC(=N1)C1=CC=CC=C1O)[C@@]1([H])SC[C@H](N1C)C(O)=O	Alkaloids	Serine alkaloids	Thiazole alkaloids	false	npclassifier.gnps2.org@2026-09-07
NYBZAGXTZXPYND-RGPRDZHESA-N	CN1C([C@@H]2CSC(C3=CC=CC=C3O)=N2)SC[C@@H]1C(=O)O	Alkaloids	Serine alkaloids	Thiazole alkaloids	false	npclassifier.gnps2.org@2026-09-07
NYQPBYWILGDRPP-UHFFFAOYSA-N	CCC1C(=O)C(=C(O1)C(=CC)CC)CC(CC)CC	Polyketides	Linear polyketides	Open-chain polyketides	false	npclassifier.gnps2.org@2026-09-07
NYUHMGANIQYFOK-ANHKVXBOSA-N	CCCCCCC(CCCCCC1=C(C=C(C=C1O[C@H]2[C@@H]([C@H]([C@@H](CO2)O)O)O)CCCCCCC(CCCC)Cl)O)Cl	Polyketides	Alkylresorcinols	Dialkylresorcinols	true	npclassifier.gnps2.org@2026-09-07
NYWSLZMTZNODJM-YZTBHFOCSA-N	CCCCC1C(O)C(C)CCC(O)CCCC(O)CCCC(O)C(C)=CC(O[C@H]2O[C@H](CO)[C@@H](O)[C@@H]2O)C(O)CC(O)CC(O)CC(O)CC(O)CCCCC(C)=CC(C)C(OC1=O)C(C)C(O)CCCNC(N)=N	Polyketides	Macrolides		true	npclassifier.gnps2.org@2026-09-07
NZCNGJHOIKMMCG-UZRVFEFTSA-N	[H][C@](C)(CC)[C@]([H])(NC(=O)[C@H]1CCCCN1C)C(=O)N(COC(=O)CC)[C@H](C[C@@H](OC(C)=O)C1=NC(=CS1)C(=O)N[C@H](C[C@H](C)C(O)=O)CC1=CC=C(O)C=C1)C(C)C	Amino acids and Peptides	Oligopeptides	Linear peptides	false	npclassifier.gnps2.org@2026-09-07
NZGOIHZOTAJJCD-UHFFFAOYSA-N	COC1=CC(=O)N(C1)C(=O)C2CSC(=N2)C(CO)NC(=O)C3=CSC(=CN=O)N3				false	npclassifier.gnps2.org@2026-09-07
NZSWNNDHPOTJNH-VEJILBAHSA-N	C/C(=C\C1=CC=C(C=C1)O)/C(=O)NC2=CC=C(C=C2)C(=O)N[C@@H](CC#N)C(=O)NC3=CC=C(C=C3)C(=O)NC4=C(C(=C(C=C4)C(=O)NC5=C(C(=C(C=C5)C(=O)O)O)OC)O)OC	Alkaloids	Peptide alkaloids	Simple amide alkaloids	false	npclassifier.gnps2.org@2026-09-07
OALATWXZSYBYTE-YXCOBNRHSA-N	CC[C@@](O1)([H])C[C@@H](OC)[C@H](C)C1(O)CC2=NC(/C=C([C@@]3([H])[C@H](C)[C@@H](OC(/C=C\C4)=O)C[C@](C/C=C(C)/C5=NC([C@]6([H])C[C@@H](O)[C@H](O)[C@@](C[C@H](O)C[C@@H](O)[C@H](/C=C/[C@@]7([H])O[C@@]4([H])[C@@H](C)[C@H](O)C7)O)([H])O6)=CO5)([H])O3)\C)=CO2	Polyketides	Macrolides	Polyene macrolides	true	npclassifier.gnps2.org@2026-09-07
OAUATHUZKRGHPN-UHFFFAOYSA-N	NCCCCNC(=O)C(CCCN(O)C=O)NC(=O)C(CO)NC(=O)C(NC(=O)C(N)CCCN(O)C=O)C(O)C(=O)O				false	npclassifier.gnps2.org@2026-09-07
OAWOFENLLWPBEQ-DDIADDBLSA-N	C/C/1=C/C/C=C(\CCC2CC(C(O2)C(/C=C(\C)/CC(=O)O)O)OC(=O)CC1OC(=O)C)/Cl	Polyketides	Macrolides	Macrolide lactones	false	npclassifier.gnps2.org@2026-09-07
OBCBERJEZQNEHH-ZFIFVKQDSA-N	[H][C@@]12CC[C@@]3(C)C[C@]1(C=CC([C@]2(CCC(NC4=C(C(C(S)=O)=CC=C4O)O)=O)C)=O)C=C3	Terpenoids	Diterpenoids	Platensimycin and Platencins	false	npclassifier.gnps2.org@2026-09-07
OBGWIHKWGGEOEV-YFRVKLFPSA-N	CC(O)[C@@]12O[C@@]11[C@H](O)C#C\C=C/C#C[C@@H]2NC2=C1C=C(O)C1=C2C(=O)C2=CC=CC=C2C1=O	Polyketides	Macrolides|Polycyclic aromatic polyketides	Anthraquinones and anthrones|Enediynes	false	npclassifier.gnps2.org@2026-09-07
OBHSZXSXLFIRJG-RURRAIJHSA-N	CC(C(C(O1)C(O2)[C@]3(OC)C4([C@@]12C(OC5CC(C(OC6CC(C(O)C(O6)C)(O)C)C(O5)C)(O)C)OC)CO4)=C(O3)C7=C8O)=CC7=C(OC)C9=C8C([C@@H](O)C[C@@H]9OC%10CC(C(O)C(O%10)C)(O)C)=O	Polyketides	Polycyclic aromatic polyketides	Anthraquinones and anthrones	true	npclassifier.gnps2.org@2026-09-07
OBMFXFPFPDTBHG-UHFFFAOYSA-N	CC1=C(C(=C(C2=C1NC3=CC=CC=C32)O)OC)C	Alkaloids	Tryptophan alkaloids	Carbazole alkaloids	false	npclassifier.gnps2.org@2026-09-07
OBUHDEKWYQCPLP-DWOUCKERSA-N	C[C@H]([C@]12[C@@H]3C#CC=CC#C[C@H]([C@@]1(O2)C4=CC(=C5C(=C4N3)C(=O)C6=C(C5=O)C=CC=C6O)O)O)O	Polyketides	Macrolides|Polycyclic aromatic polyketides	Anthraquinones and anthrones|Enediynes	false	npclassifier.gnps2.org@2026-09-07
OBZJZDHRXBKKTJ-JTFADIMSSA-N	NC(=O)C1=CN([C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)C2=C1C(N)=NC=N2	Carbohydrates	Nucleosides	Purine nucleos(t)ides	false	npclassifier.gnps2.org@2026-09-07
OCSVFAVRVAKOEJ-MERDUVRESA-N	O=C1C2=C(C=C(C(CC(C)(O)C3)=O)C3=C2O)C(C4=C(O)C([C@@H]5O[C@H](C)[C@@H]6[C@H](O[C@@H](CC([C@H](C)O7)=O)[C@@H]7O6)C5)=CC=C41)=O	Polyketides	Polycyclic aromatic polyketides	Angucyclines	false	npclassifier.gnps2.org@2026-09-07
OCUONUXNKYDHKY-PZBKSWHFSA-N	C[C@@H]1C[C@@H]([C@H]2[C@@H]3[C@@H]4[C@H]([C@@H](C=C([C@@H]4[C@@]2(C1)C)C)C=C)C(=O)[C@@H]5C[C@](CC6=CC=C(O3)C=C6)(NC5=O)O)C	Alkaloids|Amino acids and Peptides	Tetramate alkaloids	Pyrrocidine tetramate alkaloids	false	npclassifier.gnps2.org@2026-09-07
OCWVRBPZJAHHBB-FNTJIZPLSA-N	CCC[C@@H]1[C@H]2CC(=O)/C(=C/[C@H]([C@H]3[C@H](C[C@@](O3)(CC[C@H](C1=O)C(=O)O2)C)C)O)/C	Polyketides	Macrolides	Macrolide lactones	false	npclassifier.gnps2.org@2026-09-07
OCYKQSWCTYURKE-UHFFFAOYSA-N	OC1=C(C(C(C(O)=C(CCC2=C3C(O)=C(C(O)=O)C(CCCCC)=C2)C3=C4)=C4C5(C)O)=O)C5=CC(O)=C1	Polyketides	Polycyclic aromatic polyketides	Benastatins and derivatives	false	npclassifier.gnps2.org@2026-09-07
ODCPNBCPLWJVQI-NHWXPXPKSA-N	C[C@]12CCCC([C@@H]1CC[C@@H]3[C@@]24CC[C@@]([C@@H](C3)C4)(C)O)(C)C	Terpenoids	Diterpenoids	Aphidicolane diterpenoids|Tetracyclic diterpenoids	false	npclassifier.gnps2.org@2026-09-07
ODCZJZWSXPVLAW-UHFFFAOYSA-N	CC(=CC(=O)O)C=C(C)CC(C)CCCCC1OC(=O)C1CO	Polyketides	Linear polyketides	Open-chain polyketides	false	npclassifier.gnps2.org@2026-09-07
ODGIZTYDFSNPEL-BVVGETRBSA-N	C/C/1=C\CC2=CC=C(N2)C3=NC(C(O3)COC(=O)/C(=C/C(=O)OC4C1OC(=O)C4(C)CO)/CC(C)C)/C=C/5\C(OC\C5=C(\C)/CCCO)CC(C)C	Polyketides	Oligopeptides	Depsipeptides	false	npclassifier.gnps2.org@2026-09-07
ODKDMMTXTVCCLJ-BVSLBCMMSA-N	COC1=C(O)C=C2C[C@H](N(CC2=C1O)C(=O)[C@@H](N)CC1=CNC2=CC=CC=C12)C(=O)N[C@@H](CC(CO)CO)C(O)=O				false	npclassifier.gnps2.org@2026-09-07
ODLPTSAMUCYJMF-UHFFFAOYSA-N	C(C1C(C(C(C(O1)OC2C(C(OC(C2OC3C(C(C(C(O3)C(=O)O)OC4C(C(C(C(O4)CO)O)O)O)O)O)OC5C(OC(C(C5O)O)OCC6C(C(C(C(O6)O)O)O)O)CO)CO)O)O)O)O)O	Carbohydrates	Saccharides	Polysaccharides	true	npclassifier.gnps2.org@2026-09-07
ODPDWQHBVRLWMV-JTWCGSJHSA-N	C/C=C/C=C\C=C\C=C/C1=CC=CC=C1/C=C/C(=O)O				false	npclassifier.gnps2.org@2026-09-07
ODPDWQHBVRLWMV-WEQBXWHASA-N	C/C=C/C=C/C=C/C=C\C1=CC=CC=C1/C=C/C(=O)O				false	npclassifier.gnps2.org@2026-09-07
ODWSFZQNKWSGRM-FATPKMAPSA-N	CC=C(C)[C@@H]([C@@H]([C@H]1[C@H]([C@@H]([C@H](CCCC[C@H]2[C@@](O2)([C@H]3C=C[C@H]4C[C@H](C[C@H]([C@H]4[C@@H]3C(=C5C(=O)CN1OC5=O)O)C)C)C)C)O)O)O)O	Amino acids and Peptides|Polyketides			false	npclassifier.gnps2.org@2026-09-07
ODWVJEFTOQVIQW-UHFFFAOYSA-N	OC1=CC=C(CC(C(O)=O)NC(C2N(C(C(NC(C3CCCN3C(CC(CCCCCCC(Cl)[H])N)=O)=O)CCC4=CC=CC=C4)=O)CCC2)=O)C=C1	Amino acids and Peptides	Oligopeptides	Linear peptides|Lipopeptides|Microginins	false	npclassifier.gnps2.org@2026-09-07
ODXMNBRNTDMSJW-ZAZPAPLLSA-N	CCC[C@@H](C)[C@@H]1[C@H](C(=O)NC(=C)/C=C/C(=O)N[C@H](C(=O)N[C@@H](C(=O)O1)C(C)C)C)CCO	Amino acids and Peptides|Polyketides	Oligopeptides	Cyclic peptides|Depsipeptides	false	npclassifier.gnps2.org@2026-09-07
OEDBLAUAUMVWEC-SXSZNTRKSA-N	C1(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](C)C(=O)N[C@@H](CCC(=O)N)C(=O)O[C@H](C)[C@H](N(C)C(=O)/C=C/C=C/C=C/C=C/C=C/C=C/C=C/C)C(=O)N[C@@H]1C	Amino acids and Peptides|Polyketides	Oligopeptides	Cyclic peptides|Depsipeptides	false	npclassifier.gnps2.org@2026-09-07
OEHVIVCEBYGFLN-UHFFFAOYSA-N	CC(CCCCCCCC(CCCCCCCC(CCCCCCCC(CCCCCCCC(CCNC(CC(C1CCCN1C(C2NC(C(NC(C(CC(NC2C)=O)NC(C(NC(CC(C(O)=O)N)=O)CC3=CN=CN3)=O)=O)CC(N)=O)=O)=O)O)=O)O)N)N)N)N	Amino acids and Peptides	Oligopeptides	Lipopeptides	false	npclassifier.gnps2.org@2026-09-07
OENHQHLEOONYIE-JLTXGRSLSA-N	CC1=C(C(CCC1)(C)C)/C=C/C(=C/C=C/C(=C/C=C/C=C(/C=C/C=C(/C=C/C2=C(CCCC2(C)C)C)\C)\C)/C)/C	Terpenoids	Carotenoids (C40)	Carotenoids (C40, β-β)	false	npclassifier.gnps2.org@2026-09-07
OEPBYEBLOCELCQ-UHFFFAOYSA-N	C/C(C)=C\CC1=CC=CC2=C1NC=C2CC(N3O[Fe](ON4C(CC5=CNC6=C5C=CC=C6C/C=C(C)\C)=C(N=C(C4=O)C)OC)ON7C(CC8=CNC9=C8C=CC=C9C/C=C(C)\C)=C(N=C(C7=O)C)OC)=C(N=C(C3=O)C)OC	Alkaloids|Amino acids and Peptides			false	npclassifier.gnps2.org@2026-09-07
OESNGSQKCCZCKI-PZJWPPBQSA-N	CCCCCCCCCCCCCC(N[C@@H](C(N[C@@H](C)CCC(C)=O)=O)CC(N)=O)=O	Alkaloids|Fatty acids	Fatty amides|Peptide alkaloids	N-acyl amines|Simple amide alkaloids	false	npclassifier.gnps2.org@2026-09-07
OESQZFRXSGTAAF-YKNMHBIISA-N	CN[C@H](CC(C)C)C(=O)N(C)[C@H](C(C)C)C(=O)N[C@H](C(C)C)C(=O)N(C)[C@H](C(C)C)C(=O)N(C)[C@H](C(C)C)C(=O)NCCC1=CC=CC=C1	Amino acids and Peptides	Oligopeptides	Linear peptides	false	npclassifier.gnps2.org@2026-09-07
OEWOOCHSOLBOCY-IBDZFHDISA-N	CCC(C)CCCCCCCCCCC(=O)N[C@@H](CCCN(O)C=O)C(=O)N[C@@H](CO)C(=O)N(O)CCC[C@@H]1NC(=O)[C@H](CCCN(O)C=O)NC1=O	Amino acids and Peptides	Oligopeptides	Cyclic peptides|Linear peptides|Lipopeptides	false	npclassifier.gnps2.org@2026-09-07
OFNXOACBUMGOPC-HZYVHMACSA-N	CN[C@H]1[C@H](O)[C@@H](O)[C@H](CO)O[C@H]1O[C@H]1[C@H](O[C@H]2[C@H](O)[C@@H](O)[C@H](NC(N)=N)[C@@H](O)[C@@H]2NC(N)=N)O[C@@H](CO)[C@]1(O)C=O	Carbohydrates	Aminosugars and aminoglycosides|Polyols	Amino cyclitols|Aminoglycosides	true	npclassifier.gnps2.org@2026-09-07
OGGVRVMISBQNMQ-YPBSLCSMSA-N	C[C@@H]1CC[C@@H]2[C@@H]1C[C@@]3([C@@H]4C[C@]2([C@]3(C(=C4)C(C)C)C(=O)O)C=O)CO[C@H]5[C@H]([C@@H]([C@@H]([C@H](O5)C)OC)O)O	Terpenoids	Diterpenoids	Tetracyclic diterpenoids	true	npclassifier.gnps2.org@2026-09-07
OGHPJKMVTRYVEW-HHVVGWMJSA-N	C[C@@](O/1)([H])C[C@@H](OC)[C@H](C)C1=C/C2=NC(/C=C([C@@]3([H])[C@H](C)[C@@H](OC(/C=C\C4)=O)C[C@](C/C=C(C)/C5=NC([C@]6([H])C[C@@H](OC(N)=O)[C@H](O)[C@@](C[C@H](O)C[C@@H](O)[C@H](/C=C/[C@@]7([H])O[C@@]4([H])[C@@H](C)[C@H](O)C7)O[C@]8([H])O[C@@](CO)([H])[C@@H](O)[C@H](O)[C@H]8O)([H])O6)=CO5)([H])O3)\C)=CO2	Polyketides	Macrolides	Avermectins	true	npclassifier.gnps2.org@2026-09-07
OGKULKCQQIVNDI-UHFFFAOYSA-N	CC(C)=C1CC=C(C)CCC(Cl)C(C)(C)OC2=CC(O)=C3C(=O)C(C)(Cl)C(O)(C1)C(=O)C3=C2	Polyketides	Naphthalenes	Naphthoquinones	false	npclassifier.gnps2.org@2026-09-07
OGPVNMCZOXNJEF-JIXNLBNFSA-N	CC[C@H](C)[C@@H](C(=O)OC)NC(=O)C1=C(OC(=N1)C2=CSC(=N2)C3=C(OC(=N3)C4=COC(=N4)[C@H](C(C)C)NC(=O)/C(=N/O)/C(C)C)C)C	Amino acids and Peptides	Oligopeptides	RiPPs-Thiopeptides	false	npclassifier.gnps2.org@2026-09-07
OGPVNMCZOXNJEF-JLTVGRRMSA-N	CC[C@H](C)[C@@H](C(=O)OC)NC(=O)C1=C(OC(=N1)C2=CSC(=N2)C3=C(OC(=N3)C4=COC(=N4)[C@H](C(C)C)NC(=O)/C(=N\O)/C(C)C)C)C	Amino acids and Peptides	Oligopeptides	RiPPs-Thiopeptides	false	npclassifier.gnps2.org@2026-09-07
OGUMLESFFBGVOO-VJDLAWOBSA-N	CC1=C(OC(=C(C1=O)C)OC)[C@H]2CC/C(=C/C(=C/C3=CC=C(C=C3)[N+](=O)[O-])/C)/O2	Polyketides	Cyclic polyketides	4-pyrone derivatives	false	npclassifier.gnps2.org@2026-09-07
OGUUCNCVZHZWGA-SKEOMMRSSA-N	[H][C@](C)(O)[C@]1([H])NC(=O)[C@@]2(C)NC(=O)\C(NC(=O)[C@]3([H])CSC(=N3)[C@]([H])(CC(N)=O)NC(=O)C3=CC=C(N=C3[C@@]([H])(C)NC(=O)[C@]3([H])CCCN3C(=O)\C(NC(=O)CNC1=O)=C\C)C1=NC(=CS1)C1=N[C@@]([H])(CS1)C(=O)NC(=C)C1=NC(=CS1)C1=NC(=CS1)C1=N[C@@]([H])(CS1)C(=O)N[C@@]([H])(CS2)C(O)=O)=C\C	Amino acids and Peptides	Oligopeptides	Cyclic peptides	false	npclassifier.gnps2.org@2026-09-07
OGYMUMAKGYYNHV-DGAGQXFWSA-N	COC1\C=C\CC\C=C\C(=O)OC(C(C)C(=O)CCCC2CC(=O)NC(=O)C2)\C(C)=C/C(C)C1O	Alkaloids	Lysine alkaloids	Piperidine alkaloids	false	npclassifier.gnps2.org@2026-09-07
OGZSTTCVCWTRRH-SNAWJCMRSA-N	NC1=C(N=C2)C(C2=CC(C(/C=C/OC)=O)=N3)=C3C(NC(CC)=O)=C1	Alkaloids			false	npclassifier.gnps2.org@2026-09-07
OGZSTTCVCWTRRH-UHFFFAOYSA-N	CCC(=O)NC1=C2N=C(C=C3C=NC(=C23)C(N)=C1)C(=O)C=COC	Alkaloids			false	npclassifier.gnps2.org@2026-09-07
OHDXGZAYYBMHCY-QSUIEZAASA-N	C\C=C\C=C\C=C\C(=O)N[C@@H](CC(=O)N[C@@H](C(C)C)C(=O)[C@H]1[C@H](C)C(=O)NC1=O)C1=CC=CC=C1	Amino acids and Peptides	Peptide alkaloids		false	npclassifier.gnps2.org@2026-09-07
OHIZVXAYPZKILQ-FUMNGEBKSA-N	CC(=O)N[C@H](CCCN(O)C(C)=O)C(=O)N[C@H](CO)C(=O)N(O)CCC[C@@H]1NC(=O)[C@H](CCCN(O)C(C)=O)NC1=O	Amino acids and Peptides	Oligopeptides	Linear peptides	false	npclassifier.gnps2.org@2026-09-07
OHLKJNUNPSYJEE-RWBJUYEISA-N	C[C@H]1OC(=O)CCNC(=O)C(CC2=CNC3=C2C=CC=C3)NC(=O)C(CC2=CNC3=C2C=CC=C3)NC(=O)[C@H]1NC(=O)CC1=CC=CC=C1	Alkaloids|Amino acids and Peptides	Oligopeptides|Peptide alkaloids	Cyclic peptides|Depsipeptides|Indole diketopiperazine alkaloids (L-Trp, L-Trp)	false	npclassifier.gnps2.org@2026-09-07
OHRURASPPZQGQM-GCCNXGTGSA-N	C\C=C1/NC(=O)[C@H]2CSSCC\C=C\[C@H](CC(=O)N[C@H](C(C)C)C(=O)N2)OC(=O)[C@@H](NC1=O)C(C)C	Amino acids and Peptides|Polyketides	Oligopeptides	Cyclic peptides|Depsipeptides	false	npclassifier.gnps2.org@2026-09-07
OHTZNUUGYPDWEB-UHFFFAOYSA-N	CC(=O)OC1C=COC=C2C1N3C(=O)C45CC6=COC=CC(C6N4C(=O)C3(C2)SS5)OC(=O)C	Alkaloids|Amino acids and Peptides	Peptide alkaloids	Thiodiketopiperazine alkaloids	false	npclassifier.gnps2.org@2026-09-07
OHWILISHWFHITP-OCKBFZBYSA-N	COC(=O)\C(=C\C)\C=C(/C)\C=C\C=C\C=C(/C)C(=O)[C@]12O[C@H]1[C@@](O)(CCO)NC2=O	Alkaloids	Tetramate alkaloids	Simple tetramate alkaloids	false	npclassifier.gnps2.org@2026-09-07
OHWUDMVJYPQYDU-PLKRWIMUSA-N	C[C@H]1CCCC[C@H](CCCC(Br)Br)C2=C(O)C=C(C=C2O)[C@H](OC(N)=O)[C@@H](C)CCCC[C@H](CCCC(Br)Br)C2=C(O)C=C(C=C2O)[C@@H]1OC(N)=O	Polyketides	Alkylresorcinols	Dialkylresorcinols	false	npclassifier.gnps2.org@2026-09-07
OHYKIDCHGZQVCM-FIYTVAKHSA-N	[C@@H]1([H])C2[O@@][C@@](O)(C(C(O[C@H](CCC=CC=CCC[C@H](O)CC([C@H]([H])[C@H]3O[C@@](O)(C(O)C(=O)O[C@@H](C)CCC=CC=CCC[C@H](O)CC1=O)[C@H](C)CC3)=O)C)=O)O)[C@H](C)CC2	Polyketides	Macrolides	Boromycins	true	npclassifier.gnps2.org@2026-09-07
OHYKIDCHGZQVCM-ZMXWBCPCSA-N	C[C@H]1[C@@]2(O)O[C@H](CC(C[C@H](CC/C=C/C=C\CC[C@H](C)OC(C([C@@]3(O)[C@H](C)CC[C@@H](CC(C[C@H](CC/C=C/C=C\CC[C@H](C)OC(C2O)=O)O)=O)O3)O)=O)O)=O)CC1	Polyketides	Macrolides	Boromycins	true	npclassifier.gnps2.org@2026-09-07
