standard_inchi_key	cid	aid	assay_name	assay_type	depositor	activity_outcome	activity_name	activity_value_um	target_accession	reference
MBMQEIFVQACCCH-QBODLPLBSA-N	5281576	743067	qHTS assay to identify small molecule antagonists of the thyroid receptor (TR) signaling pathway: Summary	Summary	824	Inconclusive	Potency	18.5044	NP_001257783	
MBMQEIFVQACCCH-QBODLPLBSA-N	5281576	743069	qHTS assay to identify small molecule antagonists of the estrogen receptor alpha (ER-alpha) signaling pathway	Confirmatory	824	Active	Potency	47.1995	AEP43755	
MBMQEIFVQACCCH-QBODLPLBSA-N	5281576	743069	qHTS assay to identify small molecule antagonists of the estrogen receptor alpha (ER-alpha) signaling pathway	Confirmatory	824	Inconclusive	Potency	0.1427	AEP43755	
MBMQEIFVQACCCH-QBODLPLBSA-N	5281576	743074	qHTS assay to identify small molecule antagonists of the estrogen receptor alpha (ER-alpha) signaling pathway - cell viability counter screen	Confirmatory	824	Inconclusive	Potency	47.1995		
MBMQEIFVQACCCH-QBODLPLBSA-N	5281576	743075	qHTS assay to identify small molecule agonists of the estrogen receptor alpha (ER-alpha) signaling pathway	Confirmatory	824	Active	Potency	0.0133	AEP43755	
MBMQEIFVQACCCH-QBODLPLBSA-N	5281576	743075	qHTS assay to identify small molecule agonists of the estrogen receptor alpha (ER-alpha) signaling pathway	Confirmatory	824	Active	Potency	0.0715	AEP43755	
MBMQEIFVQACCCH-QBODLPLBSA-N	5281576	743077	qHTS assay to identify small molecule agonists of the estrogen receptor alpha (ER-alpha) signaling pathway: Summary	Summary	824	Active	Potency	0.127982	AEP43755	
MBMQEIFVQACCCH-QBODLPLBSA-N	5281576	743077	qHTS assay to identify small molecule agonists of the estrogen receptor alpha (ER-alpha) signaling pathway: Summary	Summary	824	Active	Potency	0.148106	AEP43755	
MBMQEIFVQACCCH-QBODLPLBSA-N	5281576	743078	qHTS assay to identify small molecule antagonists of the estrogen receptor alpha (ER-alpha) signaling pathway: Summary	Summary	824	Active	Potency	47.1995	AEP43755	
MBMQEIFVQACCCH-QBODLPLBSA-N	5281576	743078	qHTS assay to identify small molecule antagonists of the estrogen receptor alpha (ER-alpha) signaling pathway: Summary	Summary	824	Inconclusive	Potency	10.1029	AEP43755	
MBMQEIFVQACCCH-QBODLPLBSA-N	5281576	743079	qHTS assay to identify small molecule agonists of the estrogen receptor alpha (ER-alpha) signaling pathway using the BG1 cell line	Confirmatory	824	Active	Potency		AEP43755	
MBMQEIFVQACCCH-QBODLPLBSA-N	5281576	743079	qHTS assay to identify small molecule agonists of the estrogen receptor alpha (ER-alpha) signaling pathway using the BG1 cell line	Confirmatory	824	Active	Potency		AEP43755	
MBMQEIFVQACCCH-QBODLPLBSA-N	5281576	743080	qHTS assay to identify small molecule antagonists of the estrogen receptor alpha (ER-alpha) signaling pathway using the BG1 cell line	Confirmatory	824	Inconclusive	Potency	46.7669	AEP43755	
MBMQEIFVQACCCH-QBODLPLBSA-N	5281576	743080	qHTS assay to identify small molecule antagonists of the estrogen receptor alpha (ER-alpha) signaling pathway using the BG1 cell line	Confirmatory	824	Active	Potency	22.4185	AEP43755	
MBMQEIFVQACCCH-QBODLPLBSA-N	5281576	743081	qHTS assay to identify small molecule antagonists of the estrogen receptor alpha (ER-alpha) signaling pathway using the BG1 cell line - cell viability counter screen	Confirmatory	824	Inconclusive	Potency	46.7669		
MBMQEIFVQACCCH-QBODLPLBSA-N	5281576	743081	qHTS assay to identify small molecule antagonists of the estrogen receptor alpha (ER-alpha) signaling pathway using the BG1 cell line - cell viability counter screen	Confirmatory	824	Inconclusive	Potency	19.9805		
MBMQEIFVQACCCH-QBODLPLBSA-N	5281576	743083	qHTS assay to identify aromatase inhibitors	Confirmatory	824	Active	Potency	23.439	EAW77416	
MBMQEIFVQACCCH-QBODLPLBSA-N	5281576	743083	qHTS assay to identify aromatase inhibitors	Confirmatory	824	Inconclusive	Potency	0.004	EAW77416	
MBMQEIFVQACCCH-QBODLPLBSA-N	5281576	743084	qHTS assay to identify aromatase inhibitors - cell viability counter screen	Confirmatory	824	Active	Potency	18.6182		
MBMQEIFVQACCCH-QBODLPLBSA-N	5281576	743084	qHTS assay to identify aromatase inhibitors - cell viability counter screen	Confirmatory	824	Inconclusive	Potency	25.154		
MBMQEIFVQACCCH-QBODLPLBSA-N	5281576	743085	qHTS assay to identify small molecule that activate the aryl hydrocarbon receptor (AhR) signaling pathway	Confirmatory	824	Inactive	Potency	23.439	EAL24281	
MBMQEIFVQACCCH-QBODLPLBSA-N	5281576	743086	qHTS assay to identify small molecule that activate the aryl hydrocarbon receptor (AhR) signaling pathway - cell viability counter screen	Confirmatory	824	Active	Potency	37.1483		
MBMQEIFVQACCCH-QBODLPLBSA-N	5281576	743091	qHTS assay to identify small molecule antagonists of the estrogen receptor alpha (ER-alpha) signaling pathway using the BG1 cell line: Summary	Summary	824	Inconclusive	Potency	38.6016	AEP43755	
MBMQEIFVQACCCH-QBODLPLBSA-N	5281576	743091	qHTS assay to identify small molecule antagonists of the estrogen receptor alpha (ER-alpha) signaling pathway using the BG1 cell line: Summary	Summary	824	Active	Potency	14.1451	AEP43755	
MBMQEIFVQACCCH-QBODLPLBSA-N	5281576	743140	qHTS assay to identify small molecule agonists of the peroxisome proliferator-activated receptor gamma (PPARg) signaling pathway: Summary	Summary	824	Inconclusive	Potency	45.8603	BAH02283	
MBMQEIFVQACCCH-QBODLPLBSA-N	5281576	743191	qHTS assay to identify small molecule antagonists of the peroxisome proliferator-activated receptor gamma (PPARg) signaling pathway	Confirmatory	824	Inconclusive	Potency	52.9587	BAH02283	
MBMQEIFVQACCCH-QBODLPLBSA-N	5281576	743194	qHTS assay to identify small molecule antagonists of the peroxisome proliferator-activated receptor gamma (PPARg) signaling pathway - cell viability counter screen	Confirmatory	824	Inconclusive	Potency	9.4175		
MBMQEIFVQACCCH-QBODLPLBSA-N	5281576	743194	qHTS assay to identify small molecule antagonists of the peroxisome proliferator-activated receptor gamma (PPARg) signaling pathway - cell viability counter screen	Confirmatory	824	Inconclusive	Potency	14.2707		
MBMQEIFVQACCCH-QBODLPLBSA-N	5281576	743199	qHTS assay to identify small molecule antagonists of the peroxisome proliferator-activated receptor gamma (PPARg) signaling pathway: Summary	Summary	824	Active			BAH02283	
MBMQEIFVQACCCH-QBODLPLBSA-N	5281576	743202	qHTS assay for small molecule agonists of the antioxidant response element (ARE) signaling pathway	Confirmatory	824	Inconclusive	Potency	13.1807	NP_006155	
MBMQEIFVQACCCH-QBODLPLBSA-N	5281576	743202	qHTS assay for small molecule agonists of the antioxidant response element (ARE) signaling pathway	Confirmatory	824	Inconclusive	Potency	12.6069	NP_006155	
MBMQEIFVQACCCH-QBODLPLBSA-N	5281576	743203	qHTS assay for small molecule agonists of the antioxidant response element (ARE) signaling pathway - cell viability counter screen	Confirmatory	824	Inconclusive	Potency	52.4733		
