organism_name	taxon_id	name_class	requested_by
Alphonsea lutea	NCBITaxon:3040791	scientific name	lotus
Alphonsea philastreana	NCBITaxon:3059347	scientific name	chebi_origins
Alpinia breviligulata	NCBITaxon:3098691	scientific name	lotus
Alpinia carinata	NCBITaxon:3401241	scientific name	lotus
Alpinia densibracteata	NCBITaxon:3747683	scientific name	chebi_origins
Alpinia katsumadai	NCBITaxon:125259	synonym	chebi_origins,lotus
Alpinia pulcherrima	NCBITaxon:3747747	scientific name	lotus
Alseodaphne paludosa	NCBITaxon:3747822	scientific name	lotus
Alsophila lepifera	NCBITaxon:29636	synonym	lotus
Alstonia angustifolia	NCBITaxon:2516457	scientific name	chebi_origins
Alstonia balansae	NCBITaxon:3747847	scientific name	lotus
Alstonia boulindaensis	NCBITaxon:3747848	scientific name	lotus
Alstonia congensis	NCBITaxon:3747849	scientific name	lotus
Alstonia deplanchei	NCBITaxon:3747851	scientific name	lotus
Alstonia lanceolata	NCBITaxon:3747852	scientific name	lotus
Alstonia lanceolifera	NCBITaxon:3747853	scientific name	lotus
Alstonia legouixiae	NCBITaxon:3747854	scientific name	lotus
Alstonia lenormandii	NCBITaxon:3747855	scientific name	lotus
Alstonia odontophora	NCBITaxon:3747857	scientific name	lotus
Alstonia pneumatophora	NCBITaxon:3747860	scientific name	lotus
Alstonia quaternata	NCBITaxon:3747861	scientific name	lotus
Alstonia spatulata	NCBITaxon:3747863	scientific name	chebi_origins,lotus
Alstonia spectabilis	NCBITaxon:675579	scientific name	lotus
Alstonia sphaerocapitata	NCBITaxon:3747864	scientific name	lotus
Alstroemeria aurantiaca	NCBITaxon:56742	synonym	lotus
Alstroemeria magnifica var. magenta	NCBITaxon:502233	synonym	lotus
Alternaria raphani	NCBITaxon:119919	synonym	lotus
Alternaria tenuis	NCBITaxon:5599	synonym	lotus
Alvaradoa haitiensis	NCBITaxon:2686335	scientific name	chebi_origins
Alyssum argenteum	NCBITaxon:226021	synonym	lotus
Amanita amerivirosa	NCBITaxon:1906117	scientific name	lotus
Amanita hygroscopica	NCBITaxon:103604	scientific name	lotus
Amanoa oblongifolia	NCBITaxon:3748180	scientific name	lotus
Amaranthus bouchonii	NCBITaxon:1454546	synonym	lotus
Amaranthus lividus	NCBITaxon:124762	synonym	lotus
Amauria rotundifolia	NCBITaxon:160430	synonym	lotus
Ambrosia confertiflora	NCBITaxon:2067512	scientific name	chebi_origins
Ambrosia microcephala	NCBITaxon:3748251	scientific name	lotus
Amelanchier alnifolia var. semiintegrifolia	NCBITaxon:1768852	synonym	lotus
Ammodendron eichwaldii	NCBITaxon:3083804	scientific name	lotus
Ammodendron karelinii	NCBITaxon:3748389	scientific name	lotus
Ammonia	NCBITaxon:29189	scientific name	lotus
Amomum compactum	NCBITaxon:252847	synonym	lotus
Amomum tsao-ko	NCBITaxon:252867	synonym	lotus
Amorphophallus annulifer	NCBITaxon:3748458	scientific name	lotus
Amorphophallus fallax	NCBITaxon:3748481	scientific name	lotus
Amorphophallus rivieri	NCBITaxon:78372	synonym	lotus
Ampelocissus leonensis	NCBITaxon:3748563	scientific name	lotus
Ampelopsis heterophylla var. hancei	NCBITaxon:416086	synonym	lotus
Amphiachyris amoena	NCBITaxon:3748605	scientific name	lotus
Amphidinium	NCBITaxon:2960	scientific name	lotus
Amphilectus digitatus	NCBITaxon:1495197	scientific name	lotus
Amphora coffeaeformis	NCBITaxon:265554	synonym	lotus
Amsinckia carinata	NCBITaxon:3748677	scientific name	lotus
Amsonia grandiflora	NCBITaxon:3143280	scientific name	lotus
Amsonia tomentosa var. tomentosa	NCBITaxon:3475983	scientific name	lotus
Amyloporia sinuosa	NCBITaxon:1333626	synonym	lotus
Amyris balsamifera	NCBITaxon:3748741	scientific name	lotus
Amyris barbata	NCBITaxon:3748742	scientific name	lotus
Amyris brenesii	NCBITaxon:3748743	scientific name	lotus
Amyris lineata	NCBITaxon:3748758	scientific name	lotus
Amyris plumieri	NCBITaxon:3748768	scientific name	lotus
Anabaena	NCBITaxon:1163	scientific name	lotus
Anabaena circinalis	NCBITaxon:109265	synonym	cyanometdb,lotus
Anabaena compacta	NCBITaxon:136073	synonym	cyanometdb,lotus
Anabaena constricta	NCBITaxon:1499110	scientific name	cyanometdb
Anabaena cylindrica	NCBITaxon:1165	scientific name	cyanometdb
Anabaena flos-aquae	NCBITaxon:1166	synonym	lotus
Anabaena flosaquae	NCBITaxon:1166	synonym	lotus
Anabaena laxa	NCBITaxon:518128	scientific name	cyanometdb
Anabaena minutissima	NCBITaxon:2303152	scientific name	cyanometdb
Anabaena oumiana	NCBITaxon:747503	synonym	cyanometdb
Anabaena sp.	NCBITaxon:1167	scientific name	cyanometdb
Anabaena spiroides	NCBITaxon:135104	synonym	cyanometdb,lotus
Anabaena torulosa	NCBITaxon:156211	scientific name	cyanometdb
Anabaena viguieri	NCBITaxon:289436	synonym	lotus
Anabasis setifera	NCBITaxon:264974	synonym	lotus
Anacystis montana	NCBITaxon:2170624	synonym	cyanometdb,lotus
Anaerolineaceae	NCBITaxon:292628	scientific name	chebi_origins
Anagallis monelli	NCBITaxon:306291	synonym	lotus
Anaphalis subumbellata	NCBITaxon:3749087	scientific name	lotus
Anaptychia palmulata	NCBITaxon:373581	synonym	lotus
Anarrhinum orientale	NCBITaxon:3116578	scientific name	chebi_origins,lotus
Andrographis rothii	NCBITaxon:3750004	scientific name	lotus
Andrographis stenophylla	NCBITaxon:3750008	scientific name	lotus
Andrographis viscosula	NCBITaxon:3750010	scientific name	lotus
Andromeda japonica	NCBITaxon:317406	synonym	lotus
Anemonastrum flaccidum	NCBITaxon:174164	scientific name	lotus
Anemonastrum narcissiflorum	NCBITaxon:168002	scientific name	lotus
Anemonastrum obtusilobum	NCBITaxon:174167	scientific name	lotus
Anemonastrum polyanthes	NCBITaxon:2977046	scientific name	lotus
Anemonastrum tetrasepalum	NCBITaxon:666732	scientific name	lotus
Anemone altaica	NCBITaxon:2291097	scientific name	lotus
Anemone lancifolia	NCBITaxon:3132355	synonym	lotus
Anemone patens var. multifida	NCBITaxon:1301371	synonym	lotus
Anerincleistus grandiflorus	NCBITaxon:2136413	scientific name	lotus
Anerincleistus pauciflorus	NCBITaxon:2136418	scientific name	lotus
Anerincleistus purpureus	NCBITaxon:2136420	scientific name	lotus
Angelica adzharica	NCBITaxon:3750226	scientific name	lotus
Angelica komarovii	NCBITaxon:3750234	scientific name	lotus
Angiococcus	NCBITaxon:47	synonym	lotus
Angiococcus disciformis	NCBITaxon:38	synonym	lotus
Angiopteris latipinna	NCBITaxon:3418171	scientific name	lotus
Angostura longiflora	NCBITaxon:3750267	scientific name	lotus
Angostura trifoliata	NCBITaxon:3750274	scientific name	lotus
Angylocalyx boutiqueanus	NCBITaxon:3750727	scientific name	lotus
Aniba burchellii	NCBITaxon:3750732	scientific name	lotus
Aniba coto	NCBITaxon:3750733	scientific name	lotus
Aniba ferrea	NCBITaxon:3750736	scientific name	lotus
Aniba kappleri	NCBITaxon:3750743	scientific name	lotus
Aniba lancifolia	NCBITaxon:3750744	scientific name	lotus
Aniba megaphylla	NCBITaxon:3750746	scientific name	lotus
Aniba muca	NCBITaxon:3750747	scientific name	lotus
Aniba permollis	NCBITaxon:3750752	scientific name	lotus
Aniba puchury-minor	NCBITaxon:1421047	scientific name	lotus
Aniba riparia	NCBITaxon:3750755	scientific name	lotus
Aniba santalodora	NCBITaxon:3750758	scientific name	lotus
Anisochilus harmandii	NCBITaxon:204105	synonym	lotus
Anisocycla cymosa	NCBITaxon:3021355	synonym	lotus
Anisocycla grandidieri	NCBITaxon:3021356	scientific name	lotus
Anisocycla jollyana	NCBITaxon:3021357	scientific name	lotus
Anisodoris	NCBITaxon:190915	synonym	lotus
Anisodoris nobilis	NCBITaxon:589681	synonym	lotus
Anisotes sessiliflorus	NCBITaxon:3750907	scientific name	lotus
Anisotome antipoda	NCBITaxon:3750915	scientific name	lotus
Anisotome latifolia	NCBITaxon:3750919	scientific name	lotus
Annona bullata	NCBITaxon:3040794	scientific name	lotus
Annona cacans	NCBITaxon:2998641	scientific name	lotus
Annona cascarilloides	NCBITaxon:3436404	scientific name	lotus
Annona cherimolioides	NCBITaxon:2969850	scientific name	lotus
