chebi_id	species_text	species_accession	component_text	strain_text	source_accession	comments
CHEBI:4372	Sanicula lamelligera	84533	whole plant		21561060	80% aqueous ethanolic extract of dried, powdered whole plant
CHEBI:4414	Landsburgia quercifolia	590122			1791483	
CHEBI:4414	Tectona grandis	41396			6521757	
CHEBI:4429	Anthriscus sylvestris	48027			25608854	
CHEBI:4429	Dysosma versipellis	93611			25712646	
CHEBI:4429	Juniperus communis	58039			24913660	
CHEBI:4536	Hoppea dichotoma	84897			10.1016/S0031-9422(00)84903-1	
CHEBI:4537	Mycoplasma genitalium	2097			22817898	Inhibits topoisomerase II/DNA gyrase and topoisomerase IV
CHEBI:4553	Anthriscus sylvestris	48027			12956064	
CHEBI:4553	Austrocedrus chilensis	103964			25420758	
CHEBI:4553	Chamaecyparis obtusa	13415			16540181	
CHEBI:4579	Oroxylum indicum	83951	seed		23672042	
CHEBI:4579	Pinus sylvestris	3349			1536925	
CHEBI:4579	Stemona collinsae	492015			15679323	
