organism_name	requested_by
Brickellia atractyloides var. arguta	lotus
Brickellia eupatorioides var. chlorolepis	lotus
Brickellia eupatorioides var. eupatorioides	lotus
Brickellia veronicaefolia	lotus
Browallia grandiflora	lotus
Brucea sumatrana	chebi_origins
Bruceomyces	lotus
Brugmansia ceratocaula	lotus
Brugmansia cubensis	lotus
Bruguiera rhynchopetala	lotus
Buellia cladocarpiza	lotus
Buellia subpedicellata	lotus
Bulbine asphodeloides	lotus
Bunodophoron patagonicum	lotus
Bupleurum longeradiatum	lotus
Bursera leptophloeos	lotus
Buxus longifolia	chebi_origins
Buzonium crassipes	lotus
Bystropogon mollis	lotus
Cabralea cangerana	lotus
Cacalia adenostyloides	lotus
Cacalia ampullacea	lotus
Cacia confusa	lotus
Calamus quiquesetinervius	lotus
Calanthe lyroglossa var. lyroglossa	lotus
Calceolaria adscendens	lotus
Calceolaria scabiosifolia	lotus
Caldora n.a.	cyanometdb
Calea berteriana	lotus
Calea clausseniana	lotus
Calea hispida	lotus
Calea platylepis	lotus
Calea serrata	lotus
Calea trichomata	lotus
Calliandra trinervia var. carbonaria	lotus
Callistemon coccineus	lotus
Callistemon speciosus	lotus
Callitris hugelii	lotus
Callophyllis flabellata	lotus
Callopisma	lotus
Callyspongia aerizusa	lotus
Callyspongia bilamellata	lotus
Callyspongia fistularis	lotus
Callyspongia lindgreni	lotus
Callyspongia truncata	lotus
Calocephalus brownii	lotus
Calophyllum lanigerum var. austrocoriaceum	chebi_origins,lotus
Calophyllum teysmannii var. inophylloide	chebi_origins,lotus
Calothrix n.a.	cyanometdb
Calothrix; Nostoc n.a.	cyanometdb
Calothrix; Plectonema n.a.	cyanometdb
Calothrix; Plectonema parietina; notatum, sp.	cyanometdb
Calothrix; Scytonema; Brasilonema; Leptolyngbya; Tolypothrix [Calothrix]sp.; [Scytonema]sp.; [Brasilonema]octagenarum; [Leptolyngbya]sp.; [Tolypothrix]sp.	cyanometdb
Calothrix;Plectonema n.a.	cyanometdb
