organism_name	requested_by
Cynara cardunculus scolymus	lotus
Cyperus aristatus	lotus
Cyperus brevibracteatus	lotus
Cyperus brevifolius var. brevifolius	lotus
Cyperus conicus	lotus
Cyperus decompositus	lotus
Cyperus dietrichiae	lotus
Cyperus enervis	lotus
Cyperus erectus	lotus
Cyperus fulvus	lotus
Cyperus gunnii	lotus
Cyperus laevis	lotus
Cyperus lhotskyanus	lotus
Cyperus lucidus	lotus
Cyperus microbolbos	lotus
Cyperus microcephalus	lotus
Cyperus oxycarpus	lotus
Cyperus pluribracteatus	lotus
Cyperus scaber	lotus
Cyperus sculptus	lotus
Cyperus stradbrokensis	lotus
Cyperus subulatus	lotus
Cyperus teneriffae	chebi_origins,lotus
Cyperus trigonellus	lotus
Cyperus trinervis	lotus
Cyperus zollingeri	lotus
Cyphus niveus	lotus
Cystodytes solitus	lotus
Cystodytes violatinctus	lotus
Cystophora expansa	lotus
Cystophora fibrosa	lotus
Cystophora harveyi	lotus
Cystopteris schizochlamys	lotus
Cytisus albus	lotus
Cytisus beanii	lotus
Cytisus scoparius var. scoparius	lotus
Cytonaema	lotus
Dactylellina parvicolle	lotus
Dactylina chinensis	lotus
Dactylina ramulosa var. alpina	lotus
Dactylorhiza durandii	lotus
Daedalea gibbosa	lotus
Dalbergia ferruginea	lotus
Dalbergia forbesii	lotus
Dalbergia louveli	chebi_origins
Dalbergia sympathetica	chebi_origins
Dalbergia villosa var. barretoana	lotus
Dalea elegans	lotus
Dalea scandens var. paucifolia	lotus
Daphniphyllum yunnanense	lotus
Dapis sp.	cyanometdb
Darwinella tango	lotus
Datura chlorantha	lotus
Datura × candida	lotus
Daucus glaber	lotus
Decaisnella thyridioides	lotus
Decaryia madagascariensis	lotus
Deep water sponge	chebi_origins
Delia coronariae	lotus
Delisea elegans	lotus
Delphinium anthriscifolium var. savatieri	lotus
Delphinium brownii	chebi_origins
Delphinium confusum	lotus
Delphinium davisii	lotus
Delphinium formosum	lotus
Delphinium grandiflorum var. fangshanense	lotus
Delphinium linearilobum	lotus
Delphinium potaninii var. jiufengshanense	lotus
Delphinium semibarbartum	lotus
Delphinium stapeliosum	lotus
Dendranthema zawadzkii	lotus
Dendrilla cactos	lotus
Dendrilla membranosa	lotus
Dendrodochium toxicum	lotus
Dendrodontia bispora	lotus
Dendrodoris carbunculosa	lotus
Dendronephthya griffini	lotus
Dendronephthya studeri	lotus
Dendrophorbium dolichodoryium	lotus
Dendrophorbium usgorense	lotus
Dendrophthoe longiflora	lotus
Denotarisia linguifolia	lotus
Dercitus extensus	lotus
Dermonema abbottiae	lotus
Derris floribunda	lotus
Derris malaccensis	lotus
Desmodium sandwicense	lotus
Desmonostoc n.a.	cyanometdb
Desmonostoc sp. n.a.	cyanometdb
Desmos dunalii	lotus
Diacarnus laevis	lotus
Diacarnus levii	lotus
Dianthus pseudosquarrosus	lotus
Diaporthe glabrae	lotus
Diazona angulata	lotus
Diazona chinensis	lotus
Dibaeis rosea	lotus
Dichoropetalum carvifolia	lotus
Dichothrix n.a.	cyanometdb
Dichothrix utahensis	lotus
Dichrocephala bicolor	chebi_origins,lotus
Dicranolejeunea yoshinagana	lotus
Dicranopteris splendida	lotus
Dictamnus hispanicus	lotus
Dictyopteris plagiogramma	lotus
Dictyosphaeria favulosa	lotus
Dictyosphaeria sericea	lotus
Dictyota fenestrata	lotus
Dictyota furcellata	lotus
Dictyota galapagensis	lotus
Dictyota indica	lotus
Dictyota volubilis	lotus
Didemnum chartaceum	lotus
Didemnum guttatum	lotus
Didemnum moseleyi	lotus
Didemnum obscurum	lotus
Didemnum rodriguesi	lotus
Didemnum rubeum	lotus
Didiscus oxeata	lotus
Didymoglossum kraussii	lotus
Didymosporium radicicola	lotus
Dieffenbachia reginae	lotus
Diheterospora	lotus
Dimelaena californica	lotus
Dimorphocarpa wislizenii	lotus
Dioscorea hirsuta	lotus
Dioscorea militaris	lotus
Diosma acmaephylla	lotus
Diospyros decandra	lotus
Diospyros ebenaster	lotus
Diospyros embryopteris	lotus
Diospyros hirsuta	lotus
Diospyros ismailii	lotus
Diospyros melanoxylon var. melanoxylon	lotus
Diospyros moonii	lotus
Diospyros multiflora	lotus
Diospyros pubescens	lotus
Diospyros siamang	lotus
Diospyros singaporensis	lotus
Diospyros tricolor	lotus
Diospyros variegata	lotus
Diphasiastrum carolinum	lotus
Diphasiastrum fawcettii	lotus
Diplocarpon alpestre	lotus
Diploicia canescens subsp. canescens	lotus
Diploschistes gyrophoricus	lotus
Dipsacus dipsacoides	lotus
Dirinaria aspera	lotus
Dirinaria purpurascens	lotus
Discaria serratifolia	lotus
Distaplia regina	lotus
Diyaminauclea zeylanica	lotus
Doellingeria umbellata var. umbellata	lotus
Dolabella californica	lotus
Dolichandrone falcata	lotus
Dolichandrone serrulata	lotus
Dolichospermum lemmermannii strain PH-160 B	lotus
Dolichospermum¬† planctonicum	cyanometdb
Doris tanya	lotus
Dorstenia barteri var. subtriangularis	lotus
Dorstenia bornimiana	lotus
Dorstenia bryoniaefolia	lotus
Dorstenia heringeri	lotus
Dorstenia poinsettifolia	lotus
Dorycnium suffruticosum	lotus
Doryopteris raddiana	lotus
Dracaena hanningtonii	lotus
Drechslera halodes	lotus
Drimys arfakensis	chebi_origins
Drosera andersoniana	lotus
Drosera ramentacea	lotus
Drosera spathulata	lotus
Drymosiphon pamphylicus	lotus
Drynaria fortunei	lotus
Drypetes molunduana	lotus
Drypetes tessmanniana	lotus
Duboisia arenitensis	lotus
Duguetia chrysocarpa	lotus
Dulacia inopiflora	lotus
Dysidea amblia	lotus
Dysidea cinerea	lotus
Dysidea cristagalli	lotus
Dysidea dendyi	lotus
Dysidea herbacea	cyanometdb
Dysidea incrustans	lotus
Dysidea lehnerti	lotus
Dysidea robusta	lotus
Dysidea septosa	lotus
Dysidea tubulata	lotus
Dysidea villosa	lotus
Dysoxylum ficiforme	lotus
Dysoxylum hainanense	chebi_origins
Echinocereus coccineus var. gurneyi	lotus
Echinochalina bargibanti	lotus
Echinoclathria beringensis	lotus
Echinoclathria gibbosa	lotus
Echinoclathria subhispida	lotus
Echinogorgia rebekka	lotus
Echinoocysta	lotus
Echinophora lamondiana	lotus
Echinops giganteus	lotus
Echinopsis peruviana	lotus
Ehretia buxifolia	chebi_origins
Eichhornia crassipes	lotus
Elaeodendron alluaudianum	chebi_origins,lotus
Elaeodendron balae	lotus
Elaphoglossum lindbergii	lotus
Elelea concinna	lotus
Elephantopus angustifolius	lotus
Eleutherococcus pentaphyllus	lotus
Ellisella robusta	lotus
Elmerrillia papuana	lotus
Elymnias thryallis	lotus
Encyclia michuacana	chebi_origins
Endiandra jonesii	lotus
Endostemon viscosus	lotus
Engleromyces goetzei	lotus
Enicosanthum acuminatum	lotus
Enicosanthum cupulare	lotus
Epicauta immaculata	lotus
Epicauta maculata	lotus
Epilobium hybridum	lotus
Epilobium prantlii	lotus
Epimedium grandiflorum var. koreanum	lotus
Epimedium setosum	lotus
Equisetum rothmaleri	lotus
Equisetum × litorale	lotus
Ercolania funerea	lotus
Erechtites hieracifolia	lotus
Eremanthus bicolor	lotus
Eremanthus pohlii	lotus
Eremanthus seidelii	lotus
Erigeron apiculatus	lotus
Erigeron crispus	lotus
Erioderma chilense	lotus
Erioderma phaeorhizum	lotus
Erioderma tomentosum	lotus
Eriostemon cynobiformis	lotus
Erodium oxyrrhynchum	lotus
Erodium tunetanum	lotus
Ervatamia officinalis	chebi_origins
Ervatamia yunnanensis	chebi_origins
Ervilia purpurea	lotus
Erylus goffrilleri	lotus
Erylus lendenfeldi	lotus
Erylus nobilis	lotus
Erysimum humile	lotus
Erysimum marshallii	lotus
Erythrina eriotricha	chebi_origins
Erythrina glauca	chebi_origins
Erythrina × bidwillii	chebi_origins,lotus
Erythroxylum lucidum	lotus
Erythroxylum novogranatense var. novogranatense	lotus
Eschenbachia ulmifolia	lotus
Escherichia coli (strain K12)	bindingdb
Eschscholtzia	lotus
Esenbeckia conspecta	lotus
Esenbeckia stephanii	lotus
Espeletia weddelii	lotus
Espeletia wurdackii	lotus
Ethulia gracilis	lotus
Etlingera pavieana	lotus
Eucalyptus macrorrhyncha	lotus
Eucalyptus mitchelli	lotus
Eucalyptus oviformis	lotus
Eucalyptus platypus	lotus
Eucalyptus procera	lotus
Eucalyptus risdoni	lotus
Eucalyptus signata	lotus
Eucapsis n.a.	cyanometdb
Euclea lanceolata	lotus
Eucoelium mariae	lotus
Eudistoma album	lotus
Eudistoma bituminis	lotus
Eudistoma glaucum	lotus
Eudistoma rigidum	lotus
Eudistoma toealensis	lotus
Eugenia rufofulva	lotus
Eugenia umbelliflora	lotus
Euhalothece n.a.	cyanometdb
Euodia confusa	chebi_origins
Euodia elleryana	chebi_origins
Euodia roxburghiana	chebi_origins
Eupatorium adenophorum	lotus
Eupatorium album var. album	lotus
Eupatorium kiirunense	chebi_origins
Eupatorium luchuense	lotus
Euphorbia broteri	lotus
Euphorbia copiapina	lotus
Euphorbia fischeri	lotus
Euphorbia fortissima	lotus
Euphorbia franckiana	lotus
Euphorbia kamerunica	lotus
Euphorbia meyeniana	lotus
Euphorbia milii var. hislopii	lotus
Euphorbia mongolica	lotus
Euphorbia quinquecostata	lotus
Euphorbia sanctae-catharinae	lotus
Euphorbia seguieri	lotus
Euphorbia sequieriana	lotus
Euphorbia smirnovii	lotus
Euphrasia genargentea	lotus
Euplexaura flava	lotus
Euplexaura nuttingi	lotus
Euploca scabra	lotus
Eurhynchium polystictum	lotus
Euryops imbricatus	lotus
Euryops sulcatus	lotus
Euryspongia arenaria	lotus
Euryspongia rosea	lotus
Eutrochium maculatum var. maculatum	lotus
Evasterias troscheli	lotus
Evernia illyrica	lotus
Evernia perfragilis	lotus
Evernia vulpina	lotus
Exodeconus maritima	lotus
Fagara nitida	lotus
Fagraea obovata	lotus
Farsetia ramosissima	lotus
Fasciospongia rimosa	lotus
Fasciospongia turgida	lotus
Felimida marislae	lotus
Ferula caucasica	lotus
Ferula hispanica	lotus
Ferula juniperina	lotus
Ferula subtilis	lotus
Ferulago antiochia	lotus
Ferulago aucheri	lotus
Ferulago brachyloba	lotus
Ferulago capillaris	lotus
Ferulago lutea	lotus
Ficus indica	lotus
Ficus padifolia	lotus
Fimbristylis squarrulosa	lotus
Firmiana pallens	lotus
Fischerella [Fischerella]muscicola; [Fischerella]ambigua	cyanometdb
Fischerella n.a.	cyanometdb
Fissistigma shangtzeense	lotus
Flagelloscypha pilatii	lotus
Flammulina velutipes var. velutipes	lotus
Fleischmannia prasiifolia	lotus
Flemingia macrophylla var. philippinensis	lotus
Flourensia campestris	chebi_origins,lotus
Flourensia heterolepis	lotus
Flustra securifrons	lotus
Francuscia	lotus
Frasera carolinensis	lotus
Fraxinus japonica	lotus
Freesia ×hybrida	lotus
Frullania bonincola	lotus
Frullania brotheri	lotus
Frullania clavata	lotus
Frullania convoluta	lotus
Frullania densiloba	lotus
Frullania hamatiloba	lotus
Frullania media	lotus
Frullania osumiensis	lotus
Frullania probosciphora	lotus
Fuchsia campos-portoi	lotus
Fuchsia eucliandra	lotus
Fuchsia garleppiana	lotus
Fuchsia parviflora	lotus
Fuchsia vulcanica	lotus
Fugu vermiculare	lotus
Fumaria microcarpa	lotus
Furcellaria fastigiata	lotus
Fusarium lolii	lotus
Fusifilum depressum	lotus
Fusinus perplexus	lotus
Gaillardia fastigiata	lotus
Galbanum	lotus
Galeopsis wirtgenii	lotus
Galerina fasciculata	lotus
Galerina helvoliceps	lotus
Galium dasypodum	lotus
Ganoderma cochlear	lotus
Ganoderma hainanense	lotus
Ganoderma lucidum subsp. lucidum	lotus
Ganoderma lucidum var. lucidum	lotus
Ganoderma petchii	lotus
Ganoderma theaecola	lotus
Ganoderma theaecolum	lotus
Garcinia andamanica	lotus
Garcinia brevipedicellata	lotus
Garcinia brevirostris	lotus
Garcinia cambogia	chebi_origins
Garcinia dioica	chebi_origins,lotus
Garcinia elliptica	lotus
Garcinia propinqua	lotus
Garcinia purpurea	lotus
Garcinia smeathmanii	lotus
Garcinia solomonensis	lotus
Gardneria distincta	lotus
Gastrolobium racemosum	lotus
Gaultheria yunnanensis	lotus
Geigeria burkei var. burkei	lotus
Geijera balansae	lotus
Geissospermum sericeum	chebi_origins,lotus
Geitlerinema n.a.	cyanometdb
Gelidium filicinum	lotus
Genista depressa	lotus
Genista involucrata	lotus
Genista tejedensis	lotus
Gentiana aquatica var. pseudoaquatica	lotus
Gentiana chosenica	lotus
Gentiana davidii formosana	lotus
Gentiana davidii var. formosana	lotus
Gentiana favratii	chebi_origins
Gentiana karelini	chebi_origins
Gentiana kochiana	chebi_origins
Gentiana lactea	chebi_origins
Gentiana loureirii	lotus
Gentiana schistocalyx	lotus
Gentiana strictiflora	chebi_origins
Gentianopsis paludosa var. ovatodeltoidea	lotus
Geodia barretti	chebi_origins
Geodia exigua	lotus
Geodia globostellifera	lotus
Geodia microspinosa	lotus
Geodia tylastra	lotus
Geranium lambertii	lotus
Gethyllis gregoriana	lotus
Gibberella fujikuroi var. fujikuroi	lotus
Gigartina stellata	lotus
Glandularia hybrida	lotus
Glaucium pulchrum	lotus
Glebionis coronarium	lotus
Glenodinium halli	lotus
Globularia nana	lotus
Gloeocapsa atrata	lotus
Gloeocapsa; Calothrix; Nostocal [Gloeocapsa]sp.; [Calothrix]sp.; [Nostocal]sp.	cyanometdb
Gloeothece n.a.	cyanometdb
Gloeotrichia n.a.	cyanometdb
Glomospora	lotus
Glossodoris sedna	lotus
Glycosmis cyanocarpa	lotus
Glycosmis montana	lotus
Gnaphalium gracile	lotus
Gnephosis brevifolia	lotus
Gnetum cleistostachyum	lotus
Gnidia burchellii	lotus
Gnidia polycephala	lotus
Gnidia socotrana	lotus
Goniobranchus gleniei	lotus
Goniobranchus obsoletus	lotus
Goniolithon byssoides	lotus
Goniophlebium someyae	lotus
Goniothalamus fulvus	lotus
Goniotrichum elegans	lotus
Gonotheca helianthoides	lotus
Gonyaulax excavata	lotus
Gonyaulax grindleyi	lotus
Goodenia strophiolata	lotus
Gracilaria longissima	lotus
Gracilaria tsudae	lotus
Graphis desquamescens	lotus
Graphis neoelongata	lotus
Graphis prunicola	lotus
Graphis rikuzensis	lotus
Graphis syngraphizans	lotus
Graphis tetralocularis	lotus
Grewia damine	lotus
Griffitharia vestita	lotus
Grosvenoria coelocaulis	lotus
Guarea cedrata	lotus
Guatteria goudotiana	lotus
Guatteria sagotiana	lotus
Gutenbergia cordifolia var. marginata	lotus
Gutierrezia alamanii	lotus
Gutierrezia spathulata	lotus
Gutierrezia texana var. texana	lotus
Gymnanthemum thomsonianum	lotus
Gymnocalycium reductum var. leeanum	lotus
Gymnocarpium puchellum	lotus
Gymnoderma insulare	lotus
Gymnodinium kowalevskii	lotus
Gymnosporia oxyphylla	lotus
Gymnosporia wightiana	lotus
Gyrostroma missouriense	lotus
Haematomma nemetzii	lotus
Hafellia parastata	lotus
Halichondria brondstedi	lotus
Halichondria cylindrata	lotus
Haliclona compressa	lotus
Haliclona mucosa (NCBI:txid608209)	chebi_origins
Haliclona osiris	lotus
Haliclona tanitai	lotus
Halimium verticillatum	lotus
Halimium viscosum	lotus
Halopithys incurvus	lotus
Halopitys incurvus	lotus
Haloxylon recurvum	chebi_origins,lotus
Halymenia porphyroides	lotus
Hamamelistes gibberi	lotus
Hamigera tarangaensis	lotus
Haminoea templadoi	lotus
Handroanthus impetiginosum	lotus
Hapalosiphon fontinalis	cyanometdb,lotus
Hapalosiphon laingii	cyanometdb
Hapalosiphon n.a.	cyanometdb
Hapalosiphon pumilus	lotus
Hapalosiphon sp.	cyanometdb
Hapalosiphon; Fischerella [Hapalosiphon]welwitschii; [Fischerella]sp.	cyanometdb
Hapalosiphon; Microcystis [Hapalosiphon]hibernicus; [Microcystis]sp.	cyanometdb
Haplopappus parvifolius	lotus
Haplopappus scrobiculatus	lotus
Haplopappus sonorensis	lotus
Haplopappus sonoriensis	chebi_origins
Haplophyllum kowalenskyi	lotus
Haplophyllum ptilostylum	lotus
Haplophyllum schelkovnikovii	lotus
Harziella entomophila	lotus
Hassallia n.a.	cyanometdb
Hazunta modesta	chebi_origins
Hebanthe pulverulenta	lotus
Hebe andersonii	lotus
Hebeloma spoliatum	lotus
Helenium alternifolium	chebi_origins
Helenium argentinum	lotus
Helianthopsis	lotus
Helianthopsis microphylla	lotus
Helianthus grosse-serratus	lotus
Helichrysum ambiguum	lotus
Helichrysum diosmifolium	lotus
Helichrysum ferrugineum	lotus
Helichrysum fulvum	lotus
Helichrysum viscosum	chebi_origins
Heliomeris longifolia var. annua	lotus
Heliomeris multiflora var. multiflora	lotus
Helionides oblonga	lotus
Heliotropium arboreum	lotus
Heliotropium curassavicum var. curassavicum	lotus
Heliotropium curassavicum var. obovatum	lotus
Heliotropium dasycarpum	lotus
Heliotropium eichwaldii	lotus
Heliotropium ovalifolium	lotus
Helleborus macranthus	lotus
Helleborus odorus subsp. cyclophyllus	lotus
Hemerocallis fulva var. longituba	lotus
Hemionitis triangularis	lotus
Hemistepta lyrata	lotus
Hemitrichia parviverrucospora	lotus
Henricia derjugini	lotus
Heracleum grande	lotus
Heracleum laciniatum	lotus
Heracleum thomsonii	chebi_origins
Herpotrichia rhodosticta	lotus
Heterodermia neoleucomelaena	lotus
Heterodermia pandurata	lotus
Heterodermia rugulosa	lotus
Heterogorgia uatumani	lotus
Heteromma decurrens	lotus
Heteroscyphus bescherellei	lotus
Heterosporicola chenopodii	lotus
Heterotropa	lotus
Hexastylis arifolia var. arifolia	lotus
Hibiscus furcatus	lotus
Hibiscus tiliaceus	lotus
Hibiscus versicolor	lotus
Hieracium rotundatum	lotus
Higginsia tethyoides	lotus
Himatanthus fallax	lotus
Hincksinoflustra denticulata	lotus
Hippeastrum candidum	chebi_origins
Hippeastrum elegans	lotus
Hippeastrum glaucescens	lotus
Hippeastrum solandriflorum	chebi_origins
Hippocratea excelsa	chebi_origins
Hirsutella kobayasii	lotus
Hirtellina fruticosa	lotus
Histodermella	lotus
Hochreutinera hasslerana	lotus
Holothuria squamifera	lotus
Homalium zeylanicum	lotus
Homo sapiens [NCBI:txid9606]	chebi_origins
Homophymia lamellosa	lotus
Homoranthus bornhardtiensis	lotus
Hormoscilla n.a.	cyanometdb
Horsfieldia iryaghedhi	lotus
Hortia badinii	lotus
Human	bindingdb
Humbertacalia tomentosa	lotus
Huperzia acerosa	lotus
Huperzia delavayi	lotus
Huperzia guangdongensis	lotus
Huperzia laipoensis	lotus
Huperzia phlegmaria	lotus
Huperzia tibetica	lotus
Hyacinthus transcaspicus	lotus
Hyalocylindrophora rosea	lotus
Hyalopus curtipes	lotus
Hydnocarpus anthelminticus	lotus
Hydnocarpus octandra	lotus
Hydnocarpus subfalcata	lotus
Hyella caespitosa	cyanometdb,lotus
Hylomecon japonicum	lotus
Hymedesmia australis	lotus
Hymenaea oblongifolia var. palustris	lotus
Hymeniacidon agminata	lotus
Hymenocallis latifolia var. latifolia	lotus
Hymenopappus newberryi	lotus
Hymenothrix wislizenii	lotus
Hymenoxys ambigens var. ambigens	lotus
Hymenoxys ambigens var. floribunda	lotus
Hymenoxys anthemoides	lotus
Hymenoxys greenei	lotus
Hypericum asperuloides	lotus
Hypericum carinatum	lotus
Hypericum chinense var. salicifolium	chebi_origins
Hypericum elatum	lotus
Hypericum moseranum	lotus
Hypericum riparium	chebi_origins
Hypericum yojiroanum	lotus
Hyphear grewinkii	lotus
Hyphear tanakae	lotus
Hyphoderma argillaceum	lotus
Hypholoma fasciculare var. fasciculare	lotus
Hypodermium	lotus
Hypoestes rosea	lotus
Hypoestes serpens	lotus
Hypoestes verticillaris	lotus
Hypolytrum latifolium	lotus
Hypotrachyna formosana	lotus
Hypotrachyna gracilescens	lotus
Hypotrachyna hypoalectorialica	lotus
Hypotrachyna quaesita	lotus
Hypoxylon sclerophaeum	lotus
Hypoxylon terricola	lotus
Hypsizigus marmoreus	lotus
Hyrtios communis	lotus
Hyrtios gumminae	lotus
Ichthyothere ulei	lotus
Ilex boliviana	lotus
Ilex martiniana	lotus
Ilex vitis-idaea	lotus
Illicium minwanense	lotus
Illicium religiosum	chebi_origins
Impatiens aurantiaca	lotus
Incarvillea diffusa	lotus
Incarvillea mairei var. multifoliolata	lotus
Inella verrucosa	lotus
Inonotus sideroides	lotus
Inonotus sinensis	lotus
Inula grandis Schrenk	chebi_origins
Inula lineariifolia	lotus
Inula macrophylla	lotus
Inula royleana	lotus
Inula thapsoides	lotus
Iochroma coccineum	lotus
Ipomea	lotus
Ipomoea digitata	lotus
Ipomoea operculata	chebi_origins
Ipomoea piurensis	lotus
Ircinia aruensis	lotus
Ircinia formosana	lotus
Ircinia wistarii	lotus
Iridomyrmex detectus	lotus
Iris florentina	lotus
Iris triflora	lotus
Irvingia barteri	chebi_origins
Isis minorbrachyblasta	lotus
Isocarpha oppositifolia var. achyranthes	lotus
Isotrema asclepiadifolium	lotus
Isotrema cucurbitifolium	lotus
Isotrema kaempferi	lotus
Isotrema manshuriense	lotus
Isotrema mollissimum	lotus
Isotrema moupinense	lotus
Isotrema shimadae	lotus
Isotrema tomentosum	lotus
Itea maesaefolia	lotus
Iva asperifolia var. angustifolia	lotus
Jackrogersella ilanensis	lotus
Jacobaea aquatica var. erratica	lotus
Jamesonia scammanae	lotus
Jania fastigiata	lotus
Jania virgata	lotus
Jasminum amplexicaule	lotus
Jasonia glutinosa	lotus
Jaspis digonoxea	lotus
Jaspis stellifera	lotus
Jatropha ciliata	lotus
Jeffreycia zanzibarensis	lotus
Jolyna laminarioides	lotus
Juglans sinensis	chebi_origins
Julocroton montevidensis	chebi_origins
Jungermannia atrobrunnea	lotus
Jungermannia hattoriana	lotus
Jungermannia paroica	lotus
Jungermannia rosulans	lotus
Jungermannia rotundata	lotus
Jungermannia vulcanicola	lotus
Juniperus communis depressa	lotus
Juniperus taiwaniana	lotus
Juniperus thurifera var. africana	lotus
Justicia austrocapensis	lotus
Justicia fluminensis	lotus
Justicia grandis	lotus
Justicia laevilinguis	lotus
Justicia leonardii	lotus
Justicia neesii	lotus
Justicia nemorosa	lotus
Justicia paniculata	lotus
Justicia simplex	lotus
Justicia trinervia	lotus
Kadsura lancilimba	lotus
Kadsura matsudai	chebi_origins
Kaempferia pandurata	chebi_origins,lotus
Kalanchoe hybrida	lotus
Kallstroemia tribuloides	lotus
Kamptonema n.a.	cyanometdb
Karwinskia johnstonii	lotus
Kaunia arbuscularis	lotus
Kaunia longipetiolata	lotus
Kermania pistaciella	lotus
Kermes ilicis	lotus
Keronopsis rubra	lotus
Kickxia asparagoides	lotus
Kielmeyera ferruginea	lotus
Kitasatoa	lotus
Klyxum molle	lotus
Komarekiella;Nodularia [Komarekiella]atlantica;[Nodularia]spumigena	cyanometdb
Kopsia jasminiflora	chebi_origins
Kopsia tenuis	lotus
Krameria ixina	lotus
Lachnella sauteri	lotus
Lachnum mollissimum	lotus
Lactarius flavidulus	lotus
Lactobacillus reuteri	lotus
Lactuca alpina	lotus
Lactuca pulchella	lotus
Lafoensia densiflora	lotus
Lampranthus furvus	lotus
Lampranthus multiseriatus	lotus
Langermannia fenzlii	lotus
Lannea schweinfurthii var. stuhlmannii	lotus
Lantana tiliaefolia	lotus
Larix decidua var. decidua	lotus
Lasallia mayebarae	lotus
Lasallia pensylvanica	lotus
Lasiobelonium nidulum	lotus
Lasiobelonium nidulus	lotus
Lathyrus japonicus var. maritimus	lotus
Lathyrus montanus	lotus
Lathyrus transsilvanicus	lotus
Latrunculia basalis	lotus
Latrunculia bocagei	lotus
Latrunculia purpurea	lotus
Launaea aspleniifolia	lotus
Launaea resedifolia	chebi_origins,lotus
Launea	lotus
Laurencia calliclada	lotus
Laurencia claviformis	lotus
Laurencia composita	lotus
Laurencia distichophylla	lotus
Laurencia gracilis	lotus
Laurencia irieii	lotus
Laurencia japonensis	lotus
Laurencia johnstonii	lotus
Laurencia nana	lotus
Laurencia omaezakiana	lotus
Laurencia palisada	lotus
Laurencia pannosa	lotus
Laurencia pinnata	lotus
Laurencia poitei	lotus
Laurencia similis	lotus
Laurencia snyderae	lotus
Laurencia snyderiae	lotus
Laurencia tristicha	lotus
Laurilia taxodii	lotus
Lavandula dentata var. dentata	lotus
Lavandula mairei var. antiatlantica	lotus
Lavandula spica	lotus
Leathesia nana	lotus
Lecanora atrynea	lotus
Lecanora badia	lotus
Lecanora broccha	lotus
Lecanora caesiorubella subsp. saximontana	lotus
Lecanora capistrata	lotus
Lecanora castanea	lotus
Lecanora chloropolia	lotus
Lecanora cinereocarnea	lotus
Lecanora elixii	lotus
Lecanora glaucella var. subcarnea	lotus
Lecanora grumulosa	lotus
Lecanora iseana	lotus
Lecanora mayrhoferi	lotus
Lecanora myriocarpoides	lotus
Lecanora nipponica	lotus
Lecanora pachysoma	lotus
Lecanora planaica	lotus
Lecanora sulphurata	lotus
Lecanora sulphurella	lotus
Lecidella sublapicida	lotus
Ledum	lotus
Ledum decumbens	lotus
Lekusku lakaska	lotus
Lemnalia africana	lotus
Lemnalia bournei	lotus
Lemnalia cervicornis	lotus
Lemnalia flava	lotus
Lemnalia humesi	lotus
Lemnalia laevis	lotus
Lemnalia tenuis	lotus
Lenzites betulina	lotus
Leonotis nepetaefolia	lotus
Leontice ewersmannii	lotus
Leontonyx	chebi_origins,lotus
Lepidaploa sagraeana	lotus
Lepidium iberis	lotus
Lepidium peruvianum	lotus
Lepidium syvaschicum	lotus
Lepidolaena palpebrifolia	lotus
Lepidozia borneensis	lotus
Lepidozia incurvata	lotus
Lepisorus fortunei	lotus
Lepisorus palmatopedatus	lotus
Lepista amara	lotus
Lepra dactylina	lotus
Lepraria citrina	lotus
Leptoclinides dubius	lotus
Leptoclinides durus	lotus
Leptoclinides kingi	lotus
Leptoclinides marmoreus	lotus
Leptocoris isolatus	lotus
Leptogorgia laxa	lotus
Leptogorgia ruberrima	lotus
Leptogorgia rubroflavescens	lotus
Leptolyngbya Leptolyngbya	cyanometdb
Leptolyngbya crossbyana	cyanometdb,lotus
Leptolyngbya foveolara	lotus
Leptolyngbya n.a.	cyanometdb
Lespedeza juncea sericea	lotus
Lessingianthus rubricaulis	lotus
Letharia californica	lotus
Lethariella sinensis	lotus
Leucoagaricus carneifolius	lotus
Leucobryum neilgherrense	lotus
Leuconotis eugenifolius	lotus
Leuconotis griffithii	chebi_origins,lotus
Liabum eggersii	lotus
Liatris pauciflora var. secunda	lotus
Liatris platylepis	chebi_origins,lotus
Liatris punctata var. mucronata	lotus
Licaria canella	lotus
Licaria puchury-major	lotus
Lignopsis spongiosa	lotus
Ligularia calthaefolia	lotus
Lilium elegans	lotus
Limacia oblonga	lotus
Limonium gerberi	lotus
Linaria scariosa	chebi_origins
Lindera sericea var. lancea	lotus
Lipastrotethya	lotus
Lipastrotethya ana	lotus
Lippia adoensis	lotus
Lippia chevalieri	lotus
Lippia mexicana	chebi_origins,lotus
Lipschitziella deltoidea	lotus
Lisianthus seemannii	lotus
Lissoclinum japonicum	lotus
Lissoclinum notti	lotus
Litophyton bayeri	lotus
Litophyton brassicum	lotus
Litophyton chabrolii	lotus
Litophyton elongatum	lotus
Litophyton pacificum	lotus
Litophyton viridis	lotus
Litoria gilleni	lotus
Litoria subglandulosa	lotus
Litsea involucrata	lotus
Litsea laurifolia	lotus
Litsea ligustrina	lotus
Litsea linii	chebi_origins
Litsea paludosa	chebi_origins
Lituaria australasiae	lotus
Lobaria denatata	lotus
Lobaria erosa	lotus
Lobatus gigas	lotus
Lobelia hybrida	lotus
Lobodirina	lotus
Lobodirina cerebriformis	lotus
Lobophytum crassospiculatum	lotus
Lobophytum cristatum	lotus
Lobophytum denticulatum	lotus
Lobophytum durum	lotus
Lobophytum laevigatum	lotus
