identifier	np_pathway	slug	path
naturalproductmech:mibig-492ccbb627	AMINO_ACIDS_AND_PEPTIDES	capreomycin-iia	data/natural_products/amino_acids_and_peptides/capreomycin-iia.yaml
naturalproductmech:mibig-4930c38413	TERPENOIDS	hygromycin-a	data/natural_products/terpenoids/hygromycin-a.yaml
naturalproductmech:mibig-494040c9fb	UNCLASSIFIED	ape-ec	data/natural_products/unclassified/ape-ec.yaml
naturalproductmech:mibig-4957b41c61	AMINO_ACIDS_AND_PEPTIDES	albomycin-epsilon	data/natural_products/amino_acids_and_peptides/albomycin-epsilon.yaml
naturalproductmech:mibig-496d868766	ALKALOIDS	pyrroloformamide-d	data/natural_products/alkaloids/pyrroloformamide-d.yaml
naturalproductmech:mibig-497c56536d	POLYKETIDES	cylindrocyclophane-e	data/natural_products/polyketides/cylindrocyclophane-e.yaml
naturalproductmech:mibig-49a15188aa	POLYKETIDES	chaetoviridin-e	data/natural_products/polyketides/chaetoviridin-e.yaml
naturalproductmech:mibig-49aeb7dc53	POLYKETIDES	palmerolide-a	data/natural_products/polyketides/palmerolide-a.yaml
naturalproductmech:mibig-49aef618d9	UNCLASSIFIED	higginsianin-b	data/natural_products/unclassified/higginsianin-b.yaml
naturalproductmech:mibig-49b703a280	POLYKETIDES	conglobatin	data/natural_products/polyketides/conglobatin.yaml
naturalproductmech:mibig-49c2b5b8af	CARBOHYDRATES	vancosamine	data/natural_products/carbohydrates/vancosamine.yaml
naturalproductmech:mibig-49c3386c34	POLYKETIDES	scb2	data/natural_products/polyketides/scb2.yaml
naturalproductmech:mibig-49ca9fad2a	TERPENOIDS	cattleyene	data/natural_products/terpenoids/cattleyene.yaml
naturalproductmech:mibig-49cfffc3c7	ALKALOIDS	pentanochelin	data/natural_products/alkaloids/pentanochelin.yaml
naturalproductmech:mibig-4a159e2bec	POLYKETIDES	ustilaginoidin-d	data/natural_products/polyketides/ustilaginoidin-d.yaml
naturalproductmech:mibig-4a9dcd5d0a	POLYKETIDES	arixanthomycin-c	data/natural_products/polyketides/arixanthomycin-c.yaml
naturalproductmech:mibig-4aa88635e9	UNCLASSIFIED	prosekin	data/natural_products/unclassified/prosekin.yaml
naturalproductmech:mibig-4ab350af67	AMINO_ACIDS_AND_PEPTIDES	scabichelin	data/natural_products/amino_acids_and_peptides/scabichelin.yaml
naturalproductmech:mibig-4acf6c9688	ALKALOIDS	endophenazine-b	data/natural_products/alkaloids/endophenazine-b.yaml
naturalproductmech:mibig-4ad0625f00	POLYKETIDES	ustilaginoidin-e	data/natural_products/polyketides/ustilaginoidin-e.yaml
naturalproductmech:mibig-4aec36dbac	UNCLASSIFIED	stechlisin-e2	data/natural_products/unclassified/stechlisin-e2.yaml
naturalproductmech:mibig-4b02b12302	UNCLASSIFIED	sandarazol-b	data/natural_products/unclassified/sandarazol-b.yaml
naturalproductmech:mibig-4b0da50869	UNCLASSIFIED	cystobactamid-919-2	data/natural_products/unclassified/cystobactamid-919-2.yaml
naturalproductmech:mibig-4b1562dcf5	POLYKETIDES	lomaiviticin-a	data/natural_products/polyketides/lomaiviticin-a.yaml
naturalproductmech:mibig-4b20625e30	AMINO_ACIDS_AND_PEPTIDES	streptomonomicin	data/natural_products/amino_acids_and_peptides/streptomonomicin.yaml
naturalproductmech:mibig-4b38dfeb80	UNCLASSIFIED	sansalvamide	data/natural_products/unclassified/sansalvamide.yaml
naturalproductmech:mibig-4b80aeb3e1	UNCLASSIFIED	viscosin	data/natural_products/unclassified/viscosin.yaml
naturalproductmech:mibig-4b83bfc007	UNCLASSIFIED	equisetin	data/natural_products/unclassified/equisetin.yaml
naturalproductmech:mibig-4baaaaf007	AMINO_ACIDS_AND_PEPTIDES	pseudovibriamide-b2	data/natural_products/amino_acids_and_peptides/pseudovibriamide-b2.yaml
naturalproductmech:mibig-4bb2ad6d05	ALKALOIDS	stams-9n	data/natural_products/alkaloids/stams-9n.yaml
naturalproductmech:mibig-4bbff632b4	UNCLASSIFIED	citreohybridonol	data/natural_products/unclassified/citreohybridonol.yaml
naturalproductmech:mibig-4bde525501	UNCLASSIFIED	depsibosamycin-d	data/natural_products/unclassified/depsibosamycin-d.yaml
naturalproductmech:mibig-4c0d1526ef	AMINO_ACIDS_AND_PEPTIDES	napsamycin-c	data/natural_products/amino_acids_and_peptides/napsamycin-c.yaml
naturalproductmech:mibig-4c106eac10	UNCLASSIFIED	beauvericin	data/natural_products/unclassified/beauvericin.yaml
naturalproductmech:mibig-4c140c7b24	AMINO_ACIDS_AND_PEPTIDES	azolemycin-d	data/natural_products/amino_acids_and_peptides/azolemycin-d.yaml
naturalproductmech:mibig-4c415ec76c	POLYKETIDES	cervimycin-d	data/natural_products/polyketides/cervimycin-d.yaml
naturalproductmech:mibig-4c4c71285f	TERPENOIDS	7-deoxypactamycin	data/natural_products/terpenoids/7-deoxypactamycin.yaml
naturalproductmech:mibig-4c577dc2f9	POLYKETIDES	preburnettiene-b	data/natural_products/polyketides/preburnettiene-b.yaml
naturalproductmech:mibig-4cac02f12e	POLYKETIDES	onnamide-a	data/natural_products/polyketides/onnamide-a.yaml
naturalproductmech:mibig-4cb89c9b34	POLYKETIDES	leupyrrin-a2	data/natural_products/polyketides/leupyrrin-a2.yaml
naturalproductmech:mibig-4cd0d81347	POLYKETIDES	clifednamide-d	data/natural_products/polyketides/clifednamide-d.yaml
naturalproductmech:mibig-4ceab14858	AMINO_ACIDS_AND_PEPTIDES	bleomycin-b2	data/natural_products/amino_acids_and_peptides/bleomycin-b2.yaml
naturalproductmech:mibig-4d0b5369c8	AMINO_ACIDS_AND_PEPTIDES	bosamycin-e	data/natural_products/amino_acids_and_peptides/bosamycin-e.yaml
naturalproductmech:mibig-4d157842ca	POLYKETIDES	scytophycin	data/natural_products/polyketides/scytophycin.yaml
naturalproductmech:mibig-4d218fcef2	AMINO_ACIDS_AND_PEPTIDES	guangnanmycin	data/natural_products/amino_acids_and_peptides/guangnanmycin.yaml
naturalproductmech:mibig-4d42aab3e9	AMINO_ACIDS_AND_PEPTIDES	thioholgamide-b	data/natural_products/amino_acids_and_peptides/thioholgamide-b.yaml
naturalproductmech:mibig-4d56933bfd	AMINO_ACIDS_AND_PEPTIDES	heinamide-a1	data/natural_products/amino_acids_and_peptides/heinamide-a1.yaml
naturalproductmech:mibig-4d7de6b1ef	AMINO_ACIDS_AND_PEPTIDES	duramycin	data/natural_products/amino_acids_and_peptides/duramycin.yaml
naturalproductmech:mibig-4d9bbd4b83	AMINO_ACIDS_AND_PEPTIDES	grimoviridin	data/natural_products/amino_acids_and_peptides/grimoviridin.yaml
naturalproductmech:mibig-4da510b81b	ALKALOIDS	5-2-hydroxyacetyl-5-10-dihydrophenazine-1-carboxylic-acid	data/natural_products/alkaloids/5-2-hydroxyacetyl-5-10-dihydrophenazine-1-carboxylic-acid.yaml
naturalproductmech:mibig-4da9352970	UNCLASSIFIED	divergolide-d	data/natural_products/unclassified/divergolide-d.yaml
naturalproductmech:mibig-4dd6726176	POLYKETIDES	epipyrone-a	data/natural_products/polyketides/epipyrone-a.yaml
naturalproductmech:mibig-4dfea98f8f	AMINO_ACIDS_AND_PEPTIDES	corynazolicin	data/natural_products/amino_acids_and_peptides/corynazolicin.yaml
naturalproductmech:mibig-4e02b2b78e	CARBOHYDRATES	caprazamycin	data/natural_products/carbohydrates/caprazamycin.yaml
naturalproductmech:mibig-4e0bae7207	UNCLASSIFIED	cda3b	data/natural_products/unclassified/cda3b.yaml
naturalproductmech:mibig-4e1ca9a24c	POLYKETIDES	resistoflavine	data/natural_products/polyketides/resistoflavine.yaml
naturalproductmech:mibig-4e23f802fb	AMINO_ACIDS_AND_PEPTIDES	gaburedin-e	data/natural_products/amino_acids_and_peptides/gaburedin-e.yaml
naturalproductmech:mibig-4e2bf1afbd	TERPENOIDS	zealexin-a1	data/natural_products/terpenoids/zealexin-a1.yaml
naturalproductmech:mibig-4e3f72f112	AMINO_ACIDS_AND_PEPTIDES	bosamycin-d	data/natural_products/amino_acids_and_peptides/bosamycin-d.yaml
naturalproductmech:mibig-4e447db278	POLYKETIDES	fr901512	data/natural_products/polyketides/fr901512.yaml
naturalproductmech:mibig-4e6a4b882b	POLYKETIDES	macrobrevin	data/natural_products/polyketides/macrobrevin.yaml
naturalproductmech:mibig-4e6eae01d4	POLYKETIDES	nonactin	data/natural_products/polyketides/nonactin.yaml
naturalproductmech:mibig-4e89e4df7a	AMINO_ACIDS_AND_PEPTIDES	actinoidin-b	data/natural_products/amino_acids_and_peptides/actinoidin-b.yaml
naturalproductmech:mibig-4e9443cf70	ALKALOIDS	reductasporine	data/natural_products/alkaloids/reductasporine.yaml
naturalproductmech:mibig-4e95f9fea5	ALKALOIDS	cyanogramide-c	data/natural_products/alkaloids/cyanogramide-c.yaml
naturalproductmech:mibig-4ea6daa815	ALKALOIDS	migrastatin	data/natural_products/alkaloids/migrastatin.yaml
naturalproductmech:mibig-4ea966a727	ALKALOIDS	cc-1065	data/natural_products/alkaloids/cc-1065.yaml
naturalproductmech:mibig-4eaf8de3d0	UNCLASSIFIED	legonoxamine-b	data/natural_products/unclassified/legonoxamine-b.yaml
naturalproductmech:mibig-4ebb786cfe	ALKALOIDS	tjipanazole-l	data/natural_products/alkaloids/tjipanazole-l.yaml
naturalproductmech:mibig-4ef7ea8cff	POLYKETIDES	bartoloside-g	data/natural_products/polyketides/bartoloside-g.yaml
naturalproductmech:mibig-4f068981a4	SHIKIMATES_AND_PHENYLPROPANOIDS	3-p-hydroxyphenyl-1-2-propanediol	data/natural_products/shikimates_and_phenylpropanoids/3-p-hydroxyphenyl-1-2-propanediol.yaml
naturalproductmech:mibig-4f30549108	AMINO_ACIDS_AND_PEPTIDES	microsclerodermin-m	data/natural_products/amino_acids_and_peptides/microsclerodermin-m.yaml
naturalproductmech:mibig-4f4a6acf18	POLYKETIDES	pyxipyrrolone-a	data/natural_products/polyketides/pyxipyrrolone-a.yaml
naturalproductmech:mibig-4f7eeca6fc	POLYKETIDES	pellasoren	data/natural_products/polyketides/pellasoren.yaml
